author,content,poem name,age,type
MARIANNE MOORE,"Man, looking into the sea
taking the view from those who have as much right to it as you have it to yourself
it is human nature to stand in the middle of a thing
but you cannot stand in the middle of this:
the sea has nothing to give but a well excavated grave.
The firs stand in a processioneach with an emerald turkey-foot at the top
reserved as their contours, saying nothing;
repression, however, is not the most obvious characteristic of the sea;
the sea is a collector, quick to return a rapacious look.
There are others besides you who have worn that look
whose expression is no longer a protest; the fish no longer investigate them
for their bones have not lasted;
men lower nets, unconscious of the fact that they are desecrating a grave,
and row quickly awaythe blades of the oars   
moving together like the feet of water-spiders as if there were no such thing as death.
The wrinkles progress upon themselves in a phalanxbeautiful under networks of foam,
and fade breathlessly while the sea rustles in and out of the seaweed;
the birds swim through the air at top speed, emitting cat-calls as heretofore
the tortoise-shell scourges about the feet of the cliffs, in motion beneath them
and the ocean, under the pulsation of light-houses and noise of bell-buoys,
advances as usual, looking as if it were not that ocean in which dropped things are bound to sink
in which if they turn and twist, it is neither with volition nor consciousness.",A Graveyard,Modern,Nature
ELINOR WYLIE,"My bands of silk and miniver
Momently grew heavier;
The black gauze was beggarly thin;
The ermine muffled mouth and chin;
I could not suck the moonlight in.

Harlequin in lozenges
Of love and hate, I walked in these
Striped and ragged rigmaroles;
Along the pavement my footsoles
Trod warily on living coals.

Shouldering the thoughts I loathed,
In their corrupt disguises clothed,
Morality I could not tear
From my ribs, to leave them bare
Ivory in silver air.

There I walked, and there I raged;
The spiritual savage caged
Within my skeleton, raged afresh
To feel, behind a carnal mesh,
The clean bones crying in the flesh.",Full Moon,Modern,Nature
ELINOR WYLIE,"                                  1 

When the world turns completely upside down
You say well emigrate to the Eastern Shore
Aboard a river-boat from Baltimore;
Well live among wild peach trees, miles from town,
Youll wear a coonskin cap, and I a gown
Homespun, dyed butternuts dark gold color.
Lost, like your lotus-eating ancestor,
Well swim in milk and honey till we drown.

The winter will be short, the summer long,
The autumn amber-hued, sunny and hot,
Tasting of cider and of scuppernong;
All seasons sweet, but autumn best of all.
The squirrels in their silver fur will fall
Like falling leaves, like fruit, before your shot.


                                  2 

The autumn frosts will lie upon the grass
Like bloom on grapes of purple-brown and gold.
The misted early mornings will be cold;
The little puddles will be roofed with glass.
The sun, which burns from copper into brass,
Melts these at noon, and makes the boys unfold
Their knitted mufflers; full as they can hold
Fat pockets dribble chestnuts as they pass.

Peaches grow wild, and pigs can live in clover;
A barrel of salted herrings lasts a year;
The spring begins before the winters over.
By February you may find the skins
Of garter snakes and water moccasins
Dwindled and harsh, dead-white and cloudy-clear.


                                  3 

When April pours the colors of a shell
Upon the hills, when every little creek
Is shot with silver from the Chesapeake
In shoals new-minted by the ocean swell,
When strawberries go begging, and the sleek
Blue plums lie open to the blackbirds beak,
We shall live well  we shall live very well.

The months between the cherries and the peaches
Are brimming cornucopias which spill
Fruits red and purple, sombre-bloomed and black;
Then, down rich fields and frosty river beaches
Well trample bright persimmons, while you kill
Bronze partridge, speckled quail, and canvasback.


                                  4 

Down to the Puritan marrow of my bones
Theres something in this richness that I hate.
I love the look, austere, immaculate,
Of landscapes drawn in pearly monotones.
Theres something in my very blood that owns
Bare hills, cold silver on a sky of slate,
A thread of water, churned to milky spate
Streaming through slanted pastures fenced with stones.

I love those skies, thin blue or snowy gray,
Those fields sparse-planted, rendering meagre sheaves;
That spring, briefer than apple-blossoms breath,
Summer, so much too beautiful to stay,
Swift autumn, like a bonfire of leaves,
And sleepy winter, like the sleep of death.",Wild Peaches,Modern,Nature
ASIL BUNTING,"Basil Bunting, 13. Fearful Symmetry from Complete Poems, edited by Richard Caddel. Reprinted with the permission of Bloodaxe Books Ltd., www.bloodaxebooks.com.",from Fearful Symmetry,Modern,Nature
WALLACE STEVENS,"Wallace Stevens, ""The Snow Man"" from The Collected Poems of Wallace Stevens. Copyright  1954 by Wallace Stevens and renewed 1982 by Holly Stevens. Used by permission of Alfred A. Knopf, an imprint of the Knopf Doubleday Publishing Group, a division of Random House LLC. All rights reserved. ",The Snow Man,Modern,Nature
WALLACE STEVENS,"""Not Ideas About the Thing but the Thing Itself"", from The Collected Poems of Wallace Stevens, copyright 1954 by Wallace Stevens and renewed 1982 by Holly Stevens. Used by permission of Alfred A. Knopf, a division of Random House, Inc.",Not Ideas About the Thing but the Thing Itself,Modern,Nature
MICHAEL ANANIA,"Michael Anania, Afternoons from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",Afternoons,Modern,Nature
HART CRANE,"Hart Crane, ""The Air Plant"" from The Complete Poems of Hart Crane, edited by Marc Simon. Copyright  1933, 1958, 1966 by Liveright Publishing Corporation. Copyright  1986 by Marc Simon. Used by permission of Publishing Corporation.",The Air Plant,Modern,Nature
ARCHIBALD MACLEISH,"Archibald MacLeish, Ancestral from Collected Poems 1917-1982. Copyright  1985 by The Estate of Archibald MacLeish. Reprinted with the permission of Houghton Mifflin Company. All rights reserved.",Ancestral,Modern,Nature
HART CRANE,"Perspective never withers from their eyes;   
They keep that docile edict of the Spring
That blends March with August Antarctic skies:   
These are but cows that see no other thing   
Than grass and snow, and their own inner being   
Through the rich halo that they do not trouble   
Even to cast upon the seasons fleeting
Though they should thin and die on last years stubble.

And they are awkward, ponderous and uncoy . . .   
While we who press the cider mill, regarding them
We, who with pledges taste the bright annoy   
Of friendships acid wine, retarding phlegm,
Shifting reprisals (til who shall tell us when
The jest is too sharp to be kindly?) boast
Much of our store of faith in other men
Who would, ourselves, stalk down the merriest ghost.

Above them old Mizzentop, palatial white   
Hostelryfloor by floor to cinquefoil dormer   
Portholes the ceilings stack their stoic height.   
Long tiers of windows staring out toward former   
Facesloose panes crown the hill and gleam   
At sunset with a silent, cobwebbed patience . . .   

See them, like eyes that still uphold some dream   
Through mapled vistas, cancelled reservations!

High from the central cupola, they say
Ones glance could cross the borders of three states;   
But I have seen deaths stare in slow survey   
From four horizons that no one relates . . .   
Weekenders avid of their turf-won scores,
Here three hours from the semaphores, the Czars
Of golf, by twos and threes in plaid plusfours   
Alight with sticks abristle and cigars.

This was the Promised Land, and still it is
To the persuasive suburban land agent
In bootleg roadhouses where the gin fizz
Bubbles in time to Hollywoods new love-nest pageant.   
Fresh from the radio in the old Meeting House   
(Now the New Avalon Hotel) volcanoes roar
A welcome to highsteppers that no mouse
Who saw the Friends there ever heard before.

What cunning neighbors history has in fine!   
The woodlouse mortgages the ancient deal   
Table that Powitzky buys for only nine-   
Ty-five at Adams auction,eats the seal,   
The spinster polish of antiquity . . .   
Who holds the lease on time and on disgrace?   
What eats the pattern with ubiquity?
Where are my kinsmen and the patriarch race?

The resigned factions of the dead preside.   
Dead rangers bled their comfort on the snow;   
But I must ask slain Iroquois to guide
Me farther than scalped Yankees knew to go:   
Shoulder the curse of sundered parentage,   
Wait for the postman driving from Birch Hill   
With birthright by blackmail, the arrant page   
That unfolds a new destiny to fill . . . .   

So, must we from the hawks far stemming view,   
Must we descend as worms eye to construe   
Our love of all we touch, and take it to the Gate
As humbly as a guest who knows himself too late,
His news already told? Yes, while the heart is wrung,
Ariseyes, take this sheaf of dust upon your tongue!
In one last angelus lift throbbing throat
Listen, transmuting silence with that stilly note

Of pain that Emily, that Isadora knew!
While high from dim elm-chancels hung with dew,
That triple-noted clause of moonlight
Yes, whip-poor-will, unhusks the heart of fright,
Breaks us and saves, yes, breaks the heart, yet yields
That patience that is armour and that shields
Love from despairwhen love forsees the end
Leaf after autumnal leaf
                                    break off,
                                                   descend
                                                               descend",from The Bridge: Quaker Hill,Modern,Nature
HART CRANE,"I wanted you, nameless Woman of the South,
No wraith, but utterlyas still more alone
The Southern Cross takes night
And lifts her girdles from her, one by one
High, cool,
wide from the slowly smoldering fire
Of lower heavens,
vaporous scars!

Eve! Magdalene!
or Mary, you?

Whatever callfalls vainly on the wave.
O simian Venus, homeless Eve,
Unwedded, stumbling gardenless to grieve
Windswept guitars on lonely decks forever;
Finally to answer all within one grave!

And this long wake of phosphor,
iridescent
Furrow of all our traveltrailed derision!
Eyes crumble at its kiss. Its long-drawn spell
Incites a yell. Slid on that backward vision
The mind is churned to spittle, whispering hell.

I wanted you . . . The embers of the Cross
Climbed by aslant and huddling aromatically.
It is blood to remember; it is fire
To stammer back . . . It is
Godyour namelessness. And the wash

All night the water combed you with black
Insolence. You crept out simmering, accomplished.
Water rattled that stinging coil, your
Rehearsed hairdocile, alas, from many arms.
Yes, Evewraith of my unloved seed!

The Cross, a phantom, buckleddropped below the dawn.
Light drowned the lithic trillions of your spawn.",from The Bridge: Southern Cross,Modern,Nature
ASIL BUNTING,"Basil Bunting, Briggflatts (Part 1) from Complete Poems, edited by Richard Caddel. Reprinted with the permission of Bloodaxe Books Ltd., www.bloodaxebooks.com.",from Briggflatts: An Autobiography,Modern,Nature
GEORGE SANTAYANA,"The low sandy beach and the thin scrub pine,
The wide reach of bay and the long sky line,
O, I am sick for home!

The salt, salt smell of the thick sea air,
And the smooth round stones that the ebbtides wear,
When will the good ship come?

The wretched stumps all charred and burned,
And the deep soft rut where the cartwheel turned,
Why is the world so old?

The lapping wave, and the broad gray sky
Where the cawing crows and the slow gulls fly,
Where are the dead untold?

The thin, slant willows by the flooded bog,
The huge stranded hulk and the floating log,
Sorrow with life began!

And among the dark pines, and along the flat shore,
O the wind, and the wind, for evermore!
What will become of man?",Cape Cod,Modern,Nature
GUILLAUME APOLLINAIRE,"Guillaume Apollinaire. Clotilde from Alcools, English translation copyright 1995 Donald Revell and reprinted by permission of Wesleyan University Press.",Clotilde,Modern,Nature
ELINOR WYLIE,"Elinor Wylie, Epitaph from Selected Works of Elinor Wylie, edited by Evelyn Helmick Hively. Used with the permission of The Kent State University Press, http://upress.kent.edu/books/Hively2.htm.",Epitaph,Modern,Nature
CONRAD AIKEN,"Conrad Aiken, Exile from Collected Poems. Copyright 1953 by Conrad Aiken. Used by permission of Brandt & Hochman Literary Agents, Inc. Any electronic copying or distribution of this text is expressly forbidden.",Exile,Modern,Nature
MICHAEL ANANIA,"Michael Anania, The Finality of a Poem from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",The Finality of a Poem,Modern,Nature
KENNETH SLESSOR,"Kenneth Slessor, Five Visions of Captain Cook from Selected Poems, published by HarperCollins Publishers Australia. Used by permission.",Five Visions of Captain Cook,Modern,Nature
MICHAEL ANANIA,"Michael Anania, A Hanging Screen from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",A Hanging Screen,Modern,Nature
WALLACE STEVENS,"Wallace Stevens, The Idea of Order at Key West from Collected Poems. Copyright 1923, 1951, 1954 by Wallace Stevens. Reprinted with the permission of Alfred A. Knopf, a division of Random House, Inc.",The Idea of Order at Key West,Modern,Nature
ARCHIBALD MACLEISH,"Archibald MacLeish, Immortal Autumn from Collected Poems 1917-1982. Copyright  1985 by The Estate of Archibald MacLeish. Reprinted with the permission of Houghton Mifflin Company. All rights reserved.",Immortal Autumn,Modern,Nature
MALCOLM COWLEY,"Malcolm Cowley, The Long Voyage from Blue Juniata: A Life. Copyright  1985 by Malcolm Cowley. Used by permission of Viking Penguin, a division of Penguin Group (USA) Inc.",The Long Voyage,Modern,Nature
MICHAEL ANANIA,"Michael Anania, Memorial Day from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",Memorial Day,Modern,Nature
MICHAEL ANANIA,"Michael Anania, Motet from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",Motet,Modern,Nature
EZRA POUND,"While my hair was still cut straight across my forehead
I played about the front gate, pulling flowers.
You came by on bamboo stilts, playing horse,
You walked about my seat, playing with blue plums.
And we went on living in the village of Chokan:
Two small people, without dislike or suspicion.
At fourteen I married My Lord you.
I never laughed, being bashful.
Lowering my head, I looked at the wall.
Called to, a thousand times, I never looked back.

At fifteen I stopped scowling,
I desired my dust to be mingled with yours
Forever and forever, and forever.
Why should I climb the look out?

At sixteen you departed
You went into far Ku-to-en, by the river of swirling eddies,
And you have been gone five months.
The monkeys make sorrowful noise overhead.

You dragged your feet when you went out.
By the gate now, the moss is grown, the different mosses,
Too deep to clear them away!
The leaves fall early this autumn, in wind.
The paired butterflies are already yellow with August
Over the grass in the West garden;
They hurt me.
I grow older.
If you are coming down through the narrows of the river Kiang,
Please let me know beforehand,
And I will come out to meet you
As far as Cho-fu-Sa.",The River-Merchants Wife: A Letter,Modern,Nature
SARA TEASDALE,"Originally published in Poetry, March 1914.",September Midnight,Modern,Nature
SARA TEASDALE,"Since there is no escape, since at the end
My body will be utterly destroyed,
This hand I love as I have loved a friend,
This body I tended, wept with and enjoyed;
Since there is no escape even for me
Who love life with a love too sharp to bear:
The scent of orchards in the rain, the sea
And hours alone too still and sure for prayer
Since darkness waits for me, then all the more
Let me go down as waves sweep to the shore
In pride, and let me sing with my last breath;
In these few hours of light I lift my head;
Life is my loverI shall leave the dead
If there is any way to baffle death.",Since There Is No Escape,Modern,Nature
KENNETH SLESSOR,"Kenneth Slessor, South Country from Selected Poems, published by HarperCollins Publishers Australia. Used by permission.",South Country,Modern,Nature
LOUISE BOGAN,"Louise Bogan, Statue and Birds from The Blue Estuaries: Poems 1923-1968. Copyright  1968 by Louise Bogan. Used by permission of Farrar, Straus & Giroux, LLC, http://us.macmillan.com/fsg. All rights reserved.",Statue and Birds,Modern,Nature
MICHAEL ANANIA,"Michael Anania, Of the River Itself from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",from Stops Along the Western Bank of the Missouri River: Of the River Itself,Modern,Nature
MICHAEL ANANIA,"Michael Anania, A Stratagem from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",A Strategem,Modern,Nature
CONRAD AIKEN,"Conrad Aiken, Summer from Collected Poems. Copyright  1953 by Conrad Aiken. Reprinted with the permission of Brandt & Hochman Literary Agents, Inc.",Summer,Modern,Nature
PAUL LAURENCE DUNBAR,"I know what the caged bird feels, alas!
    When the sun is bright on the upland slopes;   
When the wind stirs soft through the springing grass,   
And the river flows like a stream of glass;
    When the first bird sings and the first bud opes,   
And the faint perfume from its chalice steals
I know what the caged bird feels!

I know why the caged bird beats his wing
    Till its blood is red on the cruel bars;   
For he must fly back to his perch and cling   
When he fain would be on the bough a-swing;
    And a pain still throbs in the old, old scars   
And they pulse again with a keener sting
I know why he beats his wing!

I know why the caged bird sings, ah me,
    When his wing is bruised and his bosom sore,
When he beats his bars and he would be free;
It is not a carol of joy or glee,
    But a prayer that he sends from his hearts deep core,   
But a plea, that upward to Heaven he flings
I know why the caged bird sings!",Sympathy,Modern,Nature
KENNETH SLESSOR,"Kenneth Slessor, Talbingo from Selected Poems, published by HarperCollins Publishers Australia. Used by permission.",Talbingo,Modern,Nature
GEORGE SANTAYANA,"There may be chaos still around the world,
This little world that in my thinking lies;
For mine own bosom is the paradise
Where all my lifes fair visions are unfurled.
Within my natures shell I slumber curled,
Unmindful of the changing outer skies,
Where now, perchance, some new-born Eros flies,
Or some old Cronos from his throne is hurled.
I heed them not; or if the subtle night
Haunt me with deities I never saw,
I soon mine eyelids drowsy curtain draw
To hide their myriad faces from my sight.
They threat in vain; the whirlwind cannot awe
A happy snow-flake dancing in the flaw.",There may be Chaos still around the World,Modern,Nature
WALLACE STEVENS,"I
Among twenty snowy mountains,   
The only moving thing   
Was the eye of the blackbird.   

II
I was of three minds,   
Like a tree   
In which there are three blackbirds.   

III
The blackbird whirled in the autumn winds.   
It was a small part of the pantomime.   

IV
A man and a woman   
Are one.   
A man and a woman and a blackbird   
Are one.   

V
I do not know which to prefer,   
The beauty of inflections   
Or the beauty of innuendoes,   
The blackbird whistling   
Or just after.   

VI
Icicles filled the long window   
With barbaric glass.   
The shadow of the blackbird   
Crossed it, to and fro.   
The mood   
Traced in the shadow   
An indecipherable cause.   

VII
O thin men of Haddam,   
Why do you imagine golden birds?   
Do you not see how the blackbird   
Walks around the feet   
Of the women about you?   

VIII
I know noble accents   
And lucid, inescapable rhythms;   
But I know, too,   
That the blackbird is involved   
In what I know.   

IX
When the blackbird flew out of sight,   
It marked the edge   
Of one of many circles.   

X
At the sight of blackbirds   
Flying in a green light,   
Even the bawds of euphony   
Would cry out sharply.   

XI
He rode over Connecticut   
In a glass coach.   
Once, a fear pierced him,   
In that he mistook   
The shadow of his equipage   
For blackbirds.   

XII
The river is moving.   
The blackbird must be flying.   

XIII
It was evening all afternoon.   
It was snowing   
And it was going to snow.   
The blackbird sat   
In the cedar-limbs.",Thirteen Ways of Looking at a Blackbird,Modern,Nature
GEORGE SANTAYANA,"I

Calm was the sea to which your course you kept,
Oh, how much calmer than all southern seas!
Many your nameless mates, whom the keen breeze
Wafted from mothers that of old have wept.
All souls of children taken as they slept
Are your companions, partners of your ease,
And the green souls of all these autumn trees
Are with you through the silent spaces swept.
Your virgin body gave its gentle breath
Untainted to the gods. Why should we grieve,
But that we merit not your holy death?
We shall not loiter long, your friends and I;
Living you made it goodlier to live,
Dead you will make it easier to die.

II

With you a part of me hath passed away;
For in the peopled forest of my mind
A tree made leafless by this wintry wind
Shall never don again its green array.
Chapel and fireside, country road and bay,
Have something of their friendliness resigned;
Another, if I would, I could not find,
And I am grown much older in a day.
But yet I treasure in my memory
Your gift of charity, your mellow ease,
And the dear honour of your amity;
For these once mine, my life is rich with these.
And I scarce know which part may greater be,
What I keep of you, or you rob of me.

III

Your bark lies anchored in the peaceful bight
Until a kinder wind unfurl her sail;
Your docile spirit, winged by this gale,
Hath at the dawning fled into the light.
And I half know why heaven deemed it right
Your youth, and this my joy in youth, should fail;
God hath them still, for ever they avail,
Eternity hath borrowed that delight.
For long ago I taught my thoughts to run
Where all the great things live that lived of yore,
And in eternal quiet float and soar;
There all my loves are gathered into one,
Where change is not, nor parting any more,
Nor revolution of the moon and sun.

IV

In my deep heart these chimes would still have rung
To toll your passing, had you not been dead;
For time a sadder mask than death may spread
Over the face that ever should be young.
The bough that falls with all its trophies hung
Falls not too soon, but lays its flower-crowned head
Most royal in the dust, with no leaf shed
Unhallowed or unchiselled or unsung.
And though the after world will never hear
The happy name of one so gently true,
Nor chronicles write large this fatal year,
Yet we who loved you, though we be but few,
Keep you in whatsoeer is good, and rear
In our weak virtues monuments to you.",To. W. P.,Modern,Nature
MICHAEL ANANIA,"Michael Anania, Tracings from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",Tracings,Modern,Nature
KATHERINE MANSFIELD,"But then there comes that moment rare
When, for no cause that I can find,
The little voices of the air
Sound above all the sea and wind.

The sea and wind do then obey
And sighing, sighing double notes
Of double basses, content to play
A droning chord for the little throats

The little throats that sing and rise
Up into the light with lovely ease
And a kind of magical, sweet surprise
To hear and know themselves for these

For these little voices: the bee, the fly,
The leaf that taps, the pod that breaks,
The breeze on the grass-tops bending by,
The shrill quick sound that the insect makes.",Voices of the Air,Modern,Nature
MICHAEL ANANIA,"Michael Anania, Waiting There from Selected Poems. Copyright  1994 by Michael Anania. Used by permission of Asphodel Press/Acorn Alliance.",Waiting There,Modern,Nature
ARCHIBALD MACLEISH,"Archibald MacLeish, Way-Station from Collected Poems 1917-1982. Copyright  1985 by The Estate of Archibald MacLeish. Reprinted with the permission of Houghton Mifflin Company. All rights reserved.",Way-Station,Modern,Nature
CONRAD AIKEN,"Conrad Aiken, When You Are Not Surprised from Collected Poems. Copyright  1953 by Conrad Aiken. Reprinted with the permission of Brandt & Hochman Literary Agents, Inc.",When You Are Not Surprised,Modern,Nature
KENNETH SLESSOR,"Kenneth Slessor, Winter Dawn from Selected Poems, published by HarperCollins Publishers Australia. Used by permission.",Winter Dawn,Modern,Nature
D. H. LAWRENCE,"Even iron can put forth,
Even iron.

This is the iron age,
But let us take heart
Seeing iron break and bud,
Seeing rusty iron puff with clouds of blossom.

The almond-tree,
December's bare iron hooks sticking out of earth.

The almond-tree,
That knows the deadliest poison, like a snake
In supreme bitterness.

Upon the iron, and upon the steel,
Odd flakes as if of snow, odd bits of snow,
Odd crumbs of melting snow.

But you mistake, it is not from the sky;
From out the iron, and from out the steel,
Flying not down from heaven, but storming up,
Strange storming up from the dense under-earth
Along the iron, to the living steel
In rose-hot tips, and flakes of rose-pale snow
Setting supreme annunciation to the world.

Nay, what a heart of delicate super-faith,
Iron-breaking,
The rusty swords of almond-trees.

Trees suffer, like races, down the long ages.
They wander and are exiled, they live in exile through long ages
Like drawn blades never sheathed, hacked and gone black,
The alien trees in alien lands: and yet
The heart of blossom,
The unquenchable heart of blossom!

Look at the many-cicatrised frail vine, none more scarred and frail,
Yet see him fling himself abroad in fresh abandon
From the small wound-stump.

Even the wilful, obstinate, gummy fig-tree
Can be kept down, but he'll burst like a polyp into prolixity.

And the almond-tree, in exile, in the iron age!

This is the ancient southern earth whence the vases were baked, amphoras, craters, cantharus, oenochoe, and open-hearted cylix,
Bristling now with the iron of almond-trees

Iron, but unforgotten,
Iron, dawn-hearted,
Ever-beating dawn-heart, enveloped in iron against the exile, against the ages.

See it come forth in blossom
From the snow-remembering heart
In long-nighted January,
In the long dark nights of the evening star, and Sirius, and the Etna snow-wind through the long night.

Sweating his drops of blood through the long-nighted Gethsemane
Into blossom, into pride, into honey-triumph, into most exquisite splendour.
Oh, give me the tree of life in blossom
And the Cross sprouting its superb and fearless flowers!

Something must be reassuring to the almond, in the evening star, and the snow-wind, and the long, long, nights,
Some memory of far, sun-gentler lands,
So that the faith in his heart smiles again
And his blood ripples with that untenable delight of once-more-vindicated faith,
And the Gethsemane blood at the iron pores unfolds, unfolds,
Pearls itself into tenderness of bud
And in a great and sacred forthcoming steps forth, steps out in one stride
A naked tree of blossom, like a bridegroom bathing in dew, divested of cover,
Frail-naked, utterly uncovered
To the green night-baying of the dog-star, Etna's snow-edged wind
And January's loud-seeming sun.

Think of it, from the iron fastness
Suddenly to dare to come out naked, in perfection of blossom, beyond the sword-rust.
Think, to stand there in full-unfolded nudity, smiling,
With all the snow-wind, and the sun-glare, and the dog-star baying epithalamion.

Oh, honey-bodied beautiful one,
Come forth from iron,
Red your heart is.
Fragile-tender, fragile-tender life-body,
More fearless than iron all the time,
And so much prouder, so disdainful of reluctances.

In the distance like hoar-frost, like silvery ghosts communing on a green hill,
Hoar-frost-like and mysterious.

In the garden raying out
With a body like spray, dawn-tender, and looking about
With such insuperable, subtly-smiling assurance,
Sword-blade-born.

Unpromised,
No bounds being set.
Flaked out and come unpromised,
The tree being life-divine,
Fearing nothing, life-blissful at the core
Within iron and earth.

Knots of pink, fish-silvery
In heaven, in blue, blue heaven,
Soundless, bliss-full, wide-rayed, honey-bodied,
Red at the core,
Red at the core,
Knotted in heaven upon the fine light.

Open,
Open,
Five times wide open,
Six times wide open,
And given, and perfect;
And red at the core with the last sore-heartedness,
Sore-hearted-looking.",Almond Blossom,Modern,Nature
WALLACE STEVENS,"Wallace Stevens, ""Anecdote of a Jar"" from Collected Poems.  Copyright 1923, 1951, 1954 by Wallace Stevens. Used by permission of Alfred A. Knopf, an imprint of the Knopf Doubleday Publishing Group, a division of Random House LLC. All rights reserved. ",Anecdote of the Jar,Modern,Nature
ARCHIBALD MACLEISH,"Archibald MacLeish, Ars Poetica from Collected Poems 1917-1982. Copyright  1985 by The Estate of Archibald MacLeish. Reprinted with the permission of Houghton Mifflin Company. All rights reserved.",Ars Poetica,Modern,Nature
HART CRANE,"Hart Crane, At Melvilles Tomb from The Complete Poems of Hart Crane by Hart Crane, edited by Marc SImon. Copyright  1933, 1958, 1966 by Liveright Publishing Corporation. Copyright  1986 by Marc Simon. Used by permission of Liveright Publishing.",At Melvilles Tomb,Modern,Nature
D. H. LAWRENCE,"At evening, sitting on this terrace,
When the sun from the west, beyond Pisa, beyond the mountains of Carrara
Departs, and the world is taken by surprise ...

When the tired flower of Florence is in gloom beneath the glowing
Brown hills surrounding ...

When under the arches of the Ponte Vecchio
A green light enters against stream, flush from the west,
Against the current of obscure Arno ...

Look up, and you see things flying
Between the day and the night;
Swallows with spools of dark thread sewing the shadows together.

A circle swoop, and a quick parabola under the bridge arches
Where light pushes through;
A sudden turning upon itself of a thing in the air.
A dip to the water.

And you think:
""The swallows are flying so late!""

Swallows?

Dark air-life looping
Yet missing the pure loop ...
A twitch, a twitter, an elastic shudder in flight
And serrated wings against the sky,
Like a glove, a black glove thrown up at the light,
And falling back.

Never swallows!
Bats!
The swallows are gone.

At a wavering instant the swallows gave way to bats
By the Ponte Vecchio ...
Changing guard.

Bats, and an uneasy creeping in one's scalp
As the bats swoop overhead!
Flying madly.

Pipistrello!
Black piper on an infinitesimal pipe.
Little lumps that fly in air and have voices indefinite, wildly vindictive;

Wings like bits of umbrella.

Bats!

Creatures that hang themselves up like an old rag, to sleep;
And disgustingly upside down.

Hanging upside down like rows of disgusting old rags
And grinning in their sleep.
Bats!

In China the bat is symbol for happiness.

Not for me!",Bat,Modern,Nature
HART CRANE,"Notes:
Then you shall see her truly--your blood remembering its first invasion of her secrecy, its first encounters with her kind, her chieftain lover...his shade that haunts the lakes and hills",from The Bridge: The Dance,Modern,Nature
CARL SANDBURG,"I
The bronze General Grant riding a bronze horse in Lincoln Park
Shrivels in the sun by day when the motor cars whirr by in long processions going somewhere to keep apppointment for dinner and matinees and buying and selling
Though in the dusk and nightfall when high waves are piling
On the slabs of the promenade along the lake shore near by
   I have seen the general dare the combers come closer
And make to ride his bronze horse out into the hoofs and guns of the storm.

II
I cross Lincoln Park on a winter night when the snow is falling.
Lincoln in bronze stands among the white lines of snow, his bronze forehead meeting soft echoes of the newsies crying forty thousand men are dead along the Yser, his bronze ears listening to the mumbled roar of the city at his bronze feet.
A lithe Indian on a bronze pony, Shakespeare seated with long legs in bronze, Garibaldi in a bronze cape, they hold places in the cold, lonely snow to-night on their pedestals and so they will hold them past midnight and into the dawn.",Bronzes,Modern,Nature
ELINOR WYLIE,"Elinor Wylie, Cold Blooded Creatures from Selected Works of Elinor Wylie, edited by Evelyn Helmick Hively (Kent, Ohio: The Kent State University Press, 2005). Reprinted with the permission of The Kent State University Press.",Cold Blooded Creatures,Modern,Nature
EDGAR LEE MASTERS,"Not in that wasted garden
Where bodies are drawn into grass
That feeds no flocks, and into evergreens
That bear no fruit 
There where along the shaded walks
Vain sighs are heard,
And vainer dreams are dreamed
Of close communion with departed souls 
But here under the apple tree
I loved and watched and pruned
With gnarled hands
In the long, long years;
Here under the roots of this northern-spy
To move in the chemic change and circle of life,
Into the soil and into the flesh of the tree,
And into the living epitaphs
Of redder apples!",Conrad Siever,Modern,Nature
