,0,1,2,3,4,5,6,7,8,haiku,lang
4750,Sunday brunch,his eyes on the crumb,kissing her cleavage,,,,,,,"Sunday brunch
his eyes on the crumb
kissing her cleavage",en
4751,train window,the landscape coming ,to a stop,,,,,,,"train window
the landscape coming 
to a stop",en
4752,almost spring,her pink scarf taken,by the wind,,,,,,,"almost spring
her pink scarf taken
by the wind",en
4753,Sunday best,his overalls,washed and ironed,,,,,,,"Sunday best
his overalls
washed and ironed",en
4754,tan lines,and coconut oil,high tide,,,,,,,"tan lines
and coconut oil
high tide",en
4755,beneath the fireworks,endless bullfrogs,,,,,,,,"beneath the fireworks
endless bullfrogs",en
4756,among new lilies she waters the stone Buddha ,,,,,,,,,among new lilies she waters the stone Buddha ,en
4757,a furniture store,where the church used to be ,vernal equinox,,,,,,,"a furniture store
where the church used to be 
vernal equinox",en
4758,street of cafes:,cherry blossom gusts,across the tables,,,,,,,"street of cafes:
cherry blossom gusts
across the tables",en
4759,hail on the train-,a young woman's leg,straddles her boyfriend's,,,,,,,"hail on the train-
a young woman's leg
straddles her boyfriend's",en
4760,crescent moon --,the fullness,of her hips,,,,,,,"crescent moon --
the fullness
of her hips",en
4761,still pond --,koi swim,through the sky,,,,,,,"still pond --
koi swim
through the sky",en
4762,tempest in a teapot --,my mother,serves me decaf,,,,,,,"tempest in a teapot --
my mother
serves me decaf",en
4763,equinox --,an 18-wheeler crossing,the double yellow line,,,,,,,"equinox --
an 18-wheeler crossing
the double yellow line",en
4764,equinox --,splitting,the last of the wine,,,,,,,"equinox --
splitting
the last of the wine",en
4765,still wandering,the empty corridor --,cheap perfume,,,,,,,"still wandering
the empty corridor --
cheap perfume",en
4766,Rain on a flat tin roof. Hammers without nails,,,,,,,,,Rain on a flat tin roof. Hammers without nails,en
4767,sveglia la notte,un sasso nello stagno,spruzzi di luna,,,,,,,"sveglia la notte
un sasso nello stagno
spruzzi di luna",it
4768,Una pagoda,nel bosco di sambuchi,soffio di vento,,,,,,,"Una pagoda
nel bosco di sambuchi
soffio di vento",it
4769,vallend blad - ,het afnemende licht vult,traag mijn kamer,,,,,,,"vallend blad - 
het afnemende licht vult
traag mijn kamer",nl
4770,sortie du tunnel -,un champ de colza éclaire,le compartiment,,,,,,,"sortie du tunnel -
un champ de colza éclaire
le compartiment",fr
4771,plum blossom,the haiku poet's mind . . .,elsewhere,,,,,,,"plum blossom
the haiku poet's mind . . .
elsewhere",en
4772,spring sunshine,on a high branch a plastic bag,puffs out its chest,,,,,,,"spring sunshine
on a high branch a plastic bag
puffs out its chest",en
4773,elevator,an ex's scent,hanging,,,,,,,"elevator
an ex's scent
hanging",en
4774,just passing through . . .,a parking lot where I saw,Gone with the Wind,,,,,,,"just passing through . . .
a parking lot where I saw
Gone with the Wind",en
4775,at either end,of the twelve-carriage platform:,spring mist,,,,,,,"at either end
of the twelve-carriage platform:
spring mist",en
4776,morning mist --,the fragrance,of strong coffee,,,,,,,"morning mist --
the fragrance
of strong coffee",en
4777,bitter wine --,time for that conversation,about Mom,,,,,,,"bitter wine --
time for that conversation
about Mom",en
4778,the old oak tree,where we first kissed,"marked with an ""X""",,,,,,,"the old oak tree
where we first kissed
marked with an ""X""",en
4779,new photos,of my granddaughter --,crocuses in bloom,,,,,,,"new photos
of my granddaughter --
crocuses in bloom",en
4780,twilight --,she tells me she has,a spare toothbrush,,,,,,,"twilight --
she tells me she has
a spare toothbrush",en
4781,les bourgeons gris,de la glycine - aujourd'hui,il aurait seize ans,,,,,,,"les bourgeons gris
de la glycine - aujourd'hui
il aurait seize ans",fr
4782,rulla il tamburo,il cambio della guardia,sotto la pioggia,,,,,,,"rulla il tamburo
il cambio della guardia
sotto la pioggia",it
4783,easter sunset,a red-tinged cross,of contrails,,,,,,,"easter sunset
a red-tinged cross
of contrails",en
4784,neatly stacked,the scents,of sawn timber,,,,,,,"neatly stacked
the scents
of sawn timber",en
4785,Easter vigil,candle flames tremble,at our breath,,,,,,,"Easter vigil
candle flames tremble
at our breath",en
4786,new leaves,the same old face,in the mirror,,,,,,,"new leaves
the same old face
in the mirror",en
4787,Guid Friday -,cruciform a maw snuves,athort the lift,,,,,,,"Guid Friday -
cruciform a maw snuves
athort the lift",en
4788,alang wi voar,her herr,growein back agane,,,,,,,"alang wi voar
her herr
growein back agane",de
4789,on a cold night,the hollow echo of your voice,,,,,,,,"on a cold night
the hollow echo of your voice",en
4790,tornado watch --,now available,in HD,,,,,,,"tornado watch --
now available
in HD",en
4791,under attic dust,another unopened envelope,,,,,,,,"under attic dust
another unopened envelope",en
4792,my daughter's birthday --,a child's balloon,above the clouds,,,,,,,"my daughter's birthday --
a child's balloon
above the clouds",en
4793,spring mist --,my granddaughter cries,in my arms,,,,,,,"spring mist --
my granddaughter cries
in my arms",en
4794,a sudden chill --,my credit card,declined,,,,,,,"a sudden chill --
my credit card
declined",cy
4795,Patriot's Day --,a homeless veteran's,weathered sign,,,,,,,"Patriot's Day --
a homeless veteran's
weathered sign",en
4796,dusk --,that song,still makes me cry,,,,,,,"dusk --
that song
still makes me cry",en
4797,Holy Week --,three bare trees,against a gray sky,,,,,,,"Holy Week --
three bare trees
against a gray sky",en
4798,Brittle scent,of a summer storm,lightning's sillage,,,,,,,"Brittle scent
of a summer storm
lightning's sillage",en
4799,steady rain,where the bookstore,used to be,,,,,,,"steady rain
where the bookstore
used to be",en
4800,class reunion,an old friend's glance,at my name tag,,,,,,,"class reunion
an old friend's glance
at my name tag",en
4801,notte romana,bloccata in un ingorgo,sotto la luna,,,,,,,"notte romana
bloccata in un ingorgo
sotto la luna",it
4802,grandine e pioggia,una crosta di gelo,soffoca i campi,,,,,,,"grandine e pioggia
una crosta di gelo
soffoca i campi",it
4803,kite shop -,entering with every customer,the summer breeze,,,,,,,"kite shop -
entering with every customer
the summer breeze",en
4804,lenteregen,verf bladdert,van de tuinkabouter,,,,,,,"lenteregen
verf bladdert
van de tuinkabouter",nl
4805,matin d'anniversaire -,mes empreintes sur la plage,un peu plus profondes,,,,,,,"matin d'anniversaire -
mes empreintes sur la plage
un peu plus profondes",fr
4806,lupine pools,another memory stirs,my nostalgia,,,,,,,"lupine pools
another memory stirs
my nostalgia",en
4807,globe lilies,an empty place,at the supper table,,,,,,,"globe lilies
an empty place
at the supper table",en
4808,heat wave,the cat opens one eye,halfway,,,,,,,"heat wave
the cat opens one eye
halfway",en
4809,early stars,the weed-choked path,to the compost,,,,,,,"early stars
the weed-choked path
to the compost",en
4810,haiku potato chips,nobody can write,just one,,,,,,,"haiku potato chips
nobody can write
just one",en
4811,dwarrelend,op de trampoline,kersenbloesems,,,,,,,"dwarrelend
op de trampoline
kersenbloesems",af
4812,crushed shell,in the morning light,the snail's last movements,,,,,,,"crushed shell
in the morning light
the snail's last movements",en
4813,deep fog,i wish i had another,cup of tea,,,,,,,"deep fog
i wish i had another
cup of tea",en
4814,blurry stars,the jasmine bloom,fills the air,,,,,,,"blurry stars
the jasmine bloom
fills the air",en
4815,aw day,the pyned rairs,as the auld aik dees,,,,,,,"aw day
the pyned rairs
as the auld aik dees",en
4816,in the winnock,an attercap's wab,...he hauds up her lung x-ray,,,,,,,"in the winnock
an attercap's wab
...he hauds up her lung x-ray",en
4817,siepe d'alloro,sommersa dai rifiuti,gloria in degrado,,,,,,,"siepe d'alloro
sommersa dai rifiuti
gloria in degrado",it
4818,dai miei sogni,nel cuore della notte,giungono voci,,,,,,,"dai miei sogni
nel cuore della notte
giungono voci",it
4819,nazomer,het reuzenrad draait,tegen de klok in,,,,,,,"nazomer
het reuzenrad draait
tegen de klok in",nl
4820,zomermiddag,het jongetje voor het schoolraam,leest de wolken,,,,,,,"zomermiddag
het jongetje voor het schoolraam
leest de wolken",nl
4821,sunless days,the world locked in,a pine cone,,,,,,,"sunless days
the world locked in
a pine cone",en
4822,uphill country walk...,on the verge wild plants,thriving in a carrier bag,,,,,,,"uphill country walk...
on the verge wild plants
thriving in a carrier bag",en
4823,fading light,with its own tiny rainbow,the lake's fountain,,,,,,,"fading light
with its own tiny rainbow
the lake's fountain",en
4824,recycling point...,one bin's slot is sealed,with a spider's web,,,,,,,"recycling point...
one bin's slot is sealed
with a spider's web",en
4825,after warm rain...,by the river the scent,of garlic & earth,,,,,,,"after warm rain...
by the river the scent
of garlic & earth",en
4826,flash of lightning,the salesman's oily manner,slips,,,,,,,"flash of lightning
the salesman's oily manner
slips",en
4827,bleached driftwood,the sand on the floor migrates,to the dustpan,,,,,,,"bleached driftwood
the sand on the floor migrates
to the dustpan",en
4828,giunge la sera,il volo d'un gabbiano,solca il silenzio,,,,,,,"giunge la sera
il volo d'un gabbiano
solca il silenzio",it
4829,jardinerie -,elle choisit les lavandes,avec des abeilles,,,,,,,"jardinerie -
elle choisit les lavandes
avec des abeilles",fr
4830,mist and rain-,from the dark church,we walk into light,,,,,,,"mist and rain-
from the dark church
we walk into light",en
4831,troot stream -,mey-flees jig,syne couk,,,,,,,"troot stream -
mey-flees jig
syne couk",en
4832,faither's bothy -,bottle scrievit 'weed killer',reekin o fusky,,,,,,,"faither's bothy -
bottle scrievit 'weed killer'
reekin o fusky",en
4833,vacant lot,hardly worth,a haiku,,,,,,,"vacant lot
hardly worth
a haiku",en
4834,Canada Day,this country and I,aging together,,,,,,,"Canada Day
this country and I
aging together",en
4835,ocean playground,the way memories come and go,with the tide,,,,,,,"ocean playground
the way memories come and go
with the tide",en
4836,rail track,amidst the corn fields,bisected infinity,,,,,,,"rail track
amidst the corn fields
bisected infinity",en
4837,atop the high wall...,the intertwining of,barbed wire & roses,,,,,,,"atop the high wall...
the intertwining of
barbed wire & roses",en
4838,after brief rain...,petrol rainbows appear,on the tarmac,,,,,,,"after brief rain...
petrol rainbows appear
on the tarmac",en
4839,sunflowers in bloom ,white flags,marking bodies,,,,,,,"sunflowers in bloom 
white flags
marking bodies",en
4840,het laatste blad -,zijn witte adem lost op,in de tuin,,,,,,,"het laatste blad -
zijn witte adem lost op
in de tuin",nl
4841,muggy night opening another window to let in more insects,,,,,,,,,muggy night opening another window to let in more insects,en
4842,sunglassesheadphones & the world beyond,,,,,,,,,sunglassesheadphones & the world beyond,en
4843,a blue-black feather glistens with rain another unexplained bruise,,,,,,,,,a blue-black feather glistens with rain another unexplained bruise,en
4844,high summer,where the shade stops,so does the dog,,,,,,,"high summer
where the shade stops
so does the dog",en
4845,grey skies our late neighbour's pink roses reach over the fence,,,,,,,,,grey skies our late neighbour's pink roses reach over the fence,en
4846,not long till sundown,into the willows,a yellow frisb e e,,,,,,,"not long till sundown
into the willows
a yellow frisb e e",en
4847,sunlight in the snail trails my glittering career,,,,,,,,,sunlight in the snail trails my glittering career,en
4848,another cloudy night,i google,the moon phase,,,,,,,"another cloudy night
i google
the moon phase",en
4849,last light,on the allotment,the glow of a fag dimp,,,,,,,"last light
on the allotment
the glow of a fag dimp",en
4850,summer clouds --,not enough paint to hide,the graffiti,,,,,,,"summer clouds --
not enough paint to hide
the graffiti",en
4851,picnic -,butterflies and,flies in the butter,,,,,,,"picnic -
butterflies and
flies in the butter",en
4852,poor neighborhood,a dog barking at the end,of a rope,,,,,,,"poor neighborhood
a dog barking at the end
of a rope",en
4853,day moon,the jellyfish we spot,from the end of the pier,,,,,,,"day moon
the jellyfish we spot
from the end of the pier",en
4854,the heat wave broken,morning coffee sweetened,with a cool breeze,,,,,,,"the heat wave broken
morning coffee sweetened
with a cool breeze",en
4855,sun's rise,the voices of crows,lift it higher,,,,,,,"sun's rise
the voices of crows
lift it higher",en
4856,coming home . . .,the scent of the ocean,before the sound,,,,,,,"coming home . . .
the scent of the ocean
before the sound",en
4857,Labor Day,a fly buzzing around,the leftovers,,,,,,,"Labor Day
a fly buzzing around
the leftovers",en
4858,open jalousies,the missing scent,of his cologne,,,,,,,"open jalousies
the missing scent
of his cologne",en
4859,wine moon,the heat in the kitchen,so close,,,,,,,"wine moon
the heat in the kitchen
so close",en
4860,starless night,the cyclist,without lights,,,,,,,"starless night
the cyclist
without lights",en
4861,"hawk, on a fence post.","first light,",the rain a kind of mist.,,,,,,,"hawk, on a fence post.
first light,
the rain a kind of mist.",en
4862,clear vause o roses -,deep in the watter,muckle breers,,,,,,,"clear vause o roses -
deep in the watter
muckle breers",en
4863,labor day,and still,no labor,,,,,,,"labor day
and still
no labor",en
4864,a chill ~,just before the drizzle,wind chime notes,,,,,,,"a chill ~
just before the drizzle
wind chime notes",en
4865,awake,in the dark,the darkness,,,,,,,"awake
in the dark
the darkness",en
4866,narrow path,I make way,for the butterfly,,,,,,,"narrow path
I make way
for the butterfly",en
4867,file -,mijn autoradio tussen,twee zenders,,,,,,,"file -
mijn autoradio tussen
twee zenders",nl
4868,somewhere beyond our chilli pepper plant the red dragonfly's home,,,,,,,,,somewhere beyond our chilli pepper plant the red dragonfly's home,en
4869,even after 30 years,the scent of honeysuckle,one summer night,,,,,,,"even after 30 years
the scent of honeysuckle
one summer night",en
4870,into the space between thoughts falling rose petals,,,,,,,,,into the space between thoughts falling rose petals,en
4871,monday morning,ant traffic on the main stem,of the rose,,,,,,,"monday morning
ant traffic on the main stem
of the rose",en
4872,full moon,a pear hanging,this side of the wall,,,,,,,"full moon
a pear hanging
this side of the wall",en
4873,zip,o a kingfeesher,haar steekin ahint it,,,,,,,"zip
o a kingfeesher
haar steekin ahint it",nl
4874,as old as I feel,on a gray morning . . .,autumn equinox,,,,,,,"as old as I feel
on a gray morning . . .
autumn equinox",en
4875,evening calm,her garden the color,of moonlight,,,,,,,"evening calm
her garden the color
of moonlight",en
4876,first dawn alone-,the widow eats his half,of the orange,,,,,,,"first dawn alone-
the widow eats his half
of the orange",en
4877,"in dark river water, shapes of things from the human world",,,,,,,,,"in dark river water, shapes of things from the human world",en
4878,premier jour d'automne ,le soleil frappe au carreau ,une dernière fois,,,,,,,"premier jour d'automne 
le soleil frappe au carreau 
une dernière fois",fr
4879,autumn leaves,I follow,their drift,,,,,,,"autumn leaves
I follow
their drift",en
4880,where the carpet,is wearing thin,autumn sunlight,,,,,,,"where the carpet
is wearing thin
autumn sunlight",en
4881,najaarsregens,op weg naar het oude huis,nieuwe oevers,,,,,,,"najaarsregens
op weg naar het oude huis
nieuwe oevers",af
4882,tai chi,slicing the morning mist,in quarters,,,,,,,"tai chi
slicing the morning mist
in quarters",en
4883,in the hedge,the lighted windows,of a train,,,,,,,"in the hedge
the lighted windows
of a train",en
4884,tea in china cups,the wet afternoon perfumed,with tangerine peels,,,,,,,"tea in china cups
the wet afternoon perfumed
with tangerine peels",en
4885,au coeur de la nuit,le ronron des ventilations,entre deux sirènes hurlantes,,,,,,,"au coeur de la nuit
le ronron des ventilations
entre deux sirènes hurlantes",fr
4886,autumn light,nobody I know,in the obits,,,,,,,"autumn light
nobody I know
in the obits",en
4887,begrafenis -,vast in een antieke vaas,luchtbel,,,,,,,"begrafenis -
vast in een antieke vaas
luchtbel",nl
4888,autumn chill -,the silence,of the bee hive,,,,,,,"autumn chill -
the silence
of the bee hive",en
4889,cloudy skies -,different shades of shadow,in the cauliflower,,,,,,,"cloudy skies -
different shades of shadow
in the cauliflower",en
4890,roadkill pheasant,all the blustery colours,of autumn,,,,,,,"roadkill pheasant
all the blustery colours
of autumn",en
4891,coortin kipple,a coffee atween thaim -,stame heavin,,,,,,,"coortin kipple
a coffee atween thaim -
stame heavin",en
4892,sun's rise,the voices of crows,lift it higher,,,,,,,"sun's rise
the voices of crows
lift it higher",en
4893,Carrelage humide -,l'homme à genoux,parle au lave-vaisselle,,,,,,,"Carrelage humide -
l'homme à genoux
parle au lave-vaisselle",fr
4894,Nel secchio d'acqua,sotto il cielo di notte,luna riflessa,,,,,,,"Nel secchio d'acqua
sotto il cielo di notte
luna riflessa",it
4895,frost burn,high windows blaze,with sunlight,,,,,,,"frost burn
high windows blaze
with sunlight",en
4896,glistening frost,the slow blue arc,of a buzzard,,,,,,,"glistening frost
the slow blue arc
of a buzzard",en
4897,deep in the woods,leaves drifting over,what used to be a wall,,,,,,,"deep in the woods
leaves drifting over
what used to be a wall",en
4898,morning fog --,an empty,tequila bottle,,,,,,,"morning fog --
an empty
tequila bottle",en
4899,asleep,on the subway floor,the unknown soldier,,,,,,,"asleep
on the subway floor
the unknown soldier",en
4900,Veteran's Day --,the old dog's,gray muzzle,,,,,,,"Veteran's Day --
the old dog's
gray muzzle",en
4901,Dia de los Muertos --,her elegant cheek bones,,,,,,,,"Dia de los Muertos --
her elegant cheek bones",es
4902,sotto la pioggia,la luce del lampione,mi cola addosso,,,,,,,"sotto la pioggia
la luce del lampione
mi cola addosso",it
4903,oak stump-,i remember the hornets,last summer,,,,,,,"oak stump-
i remember the hornets
last summer",en
4904,apple core,how to bottle,memories,,,,,,,"apple core
how to bottle
memories",en
4905,though touch-less,the intimate rustle of silk,,,,,,,,"though touch-less
the intimate rustle of silk",en
4906,lee of the storm,the jagged edges,of the new pothole,,,,,,,"lee of the storm
the jagged edges
of the new pothole",en
4907,Thanksgiving night --,an empty parking lot,at the nursing home,,,,,,,"Thanksgiving night --
an empty parking lot
at the nursing home",en
4908,Thanksgiving rain --,the unblinking eyes,of a shelter dog,,,,,,,"Thanksgiving rain --
the unblinking eyes
of a shelter dog",en
4909,Thanksgiving rain --,the dog,no one wanted,,,,,,,"Thanksgiving rain --
the dog
no one wanted",en
4910,alone at the bar,the missing letters,in a neon light,,,,,,,"alone at the bar
the missing letters
in a neon light",en
4911,new moon --,the doctor schedules,a biopsy,,,,,,,"new moon --
the doctor schedules
a biopsy",en
4912,double whisky,everything glistens,in the mist,,,,,,,"double whisky
everything glistens
in the mist",en
4913,overcast,until a white moth lands,on my phone screen,,,,,,,"overcast
until a white moth lands
on my phone screen",en
4914,wind chime,a text brings news,of his death,,,,,,,"wind chime
a text brings news
of his death",en
4915,quai de métro ,le mendiant ronfle,sa bouteille tient debout,,,,,,,"quai de métro 
le mendiant ronfle
sa bouteille tient debout",fr
4916,bad beer --,the stock market,goes flat,,,,,,,"bad beer --
the stock market
goes flat",en
4917,mixed precipitation --,she tells me I look good,for my age,,,,,,,"mixed precipitation --
she tells me I look good
for my age",en
4918,enlightment --,a police car,on fire,,,,,,,"enlightment --
a police car
on fire",en
4919,late night date,sand in her bra,all day long,,,,,,,"late night date
sand in her bra
all day long",en
4920,party over,the snap crackle of logs,in an empty room,,,,,,,"party over
the snap crackle of logs
in an empty room",en
4921,geminids a couple,of white pills before,i go to bed,,,,,,,"geminids a couple
of white pills before
i go to bed",en
4922,laundry day --,the search,for matching socks,,,,,,,"laundry day --
the search
for matching socks",en
4923,Christmas leftovers --,my mother forgets,why she called,,,,,,,"Christmas leftovers --
my mother forgets
why she called",en
4924,the sudden chill--,a fresh layer of ice,on the fire escape,,,,,,,"the sudden chill--
a fresh layer of ice
on the fire escape",en
4925,fresh snow,beginning the new year,with a clean slate,,,,,,,"fresh snow
beginning the new year
with a clean slate",en
4926,Acqua che scorre,porta via i miei pensieri,un fiume in piena,,,,,,,"Acqua che scorre
porta via i miei pensieri
un fiume in piena",it
4927,7° de janvier ~,les rubans noirs remplacent,les bonnets rouges,,,,,,,"7° de janvier ~
les rubans noirs remplacent
les bonnets rouges",fr
4928,midi du jour 8 ~,les sirènes ne font pas,taire les oiseaux,,,,,,,"midi du jour 8 ~
les sirènes ne font pas
taire les oiseaux",fr
4929,ce matin,du balcon mouillé,ramasser les restes de cire,de la bougie-Charlie,,,,,,"ce matin
du balcon mouillé
ramasser les restes de cire
de la bougie-Charlie",fr
4930,first morning,the marks of a moth,in old laundry,,,,,,,"first morning
the marks of a moth
in old laundry",en
4931,a lamb's cry,scudding clouds over,the cemetery wall,,,,,,,"a lamb's cry
scudding clouds over
the cemetery wall",en
4932,year's end,the time it takes a contrail,to dissolve,,,,,,,"year's end
the time it takes a contrail
to dissolve",en
4933,My 72nd winter,the deepening cold,in every room ,,,,,,,"My 72nd winter
the deepening cold
in every room ",en
4934,the window cleaner's ladder,leaves two small holes,in the planet,,,,,,,"the window cleaner's ladder
leaves two small holes
in the planet",en
4935,rattling white in my eye socket a half moon and two aspirin,,,,,,,,,rattling white in my eye socket a half moon and two aspirin,en
4936,"Oh, a cold rain",again fills the river,with circles,,,,,,,"Oh, a cold rain
again fills the river
with circles",en
4937,Moss on the roof,tiles. First one cat,then another,,,,,,,"Moss on the roof
tiles. First one cat
then another",en
4938,i go to bed you stay downstairs,the windscreens ice over,,,,,,,,"i go to bed you stay downstairs
the windscreens ice over",en
4939,year's end,there's a hearse,in the fast lane,,,,,,,"year's end
there's a hearse
in the fast lane",en
4940,all I need are mountains,and a hedgehog -,autumn deepens,,,,,,,"all I need are mountains
and a hedgehog -
autumn deepens",en
4941,wild wind,on dry sedge--,what more on her mind? ,,,,,,,"wild wind
on dry sedge--
what more on her mind? ",en
4942,brewing storm ...,how the clouds stir,in my coffee,,,,,,,"brewing storm ...
how the clouds stir
in my coffee",en
4943,half moon --,something,I'm forgetting,,,,,,,"half moon --
something
I'm forgetting",no
4944,mixed precipitation --,a flat finish,on Wall Street,,,,,,,"mixed precipitation --
a flat finish
on Wall Street",en
4945,a long meeting --,permanent marker,on the erasble whiteboard,,,,,,,"a long meeting --
permanent marker
on the erasble whiteboard",en
4946,sipping absinthe,the impressionist painting,of night,,,,,,,"sipping absinthe
the impressionist painting
of night",en
4947,urban incense --,a steaming,manhole cover,,,,,,,"urban incense --
a steaming
manhole cover",en
4948,sailing the seas,of my subconscious --,her fishnet stockings,,,,,,,"sailing the seas
of my subconscious --
her fishnet stockings",en
4949,cold snap --,the junkyard dog's,heavy chain,,,,,,,"cold snap --
the junkyard dog's
heavy chain",en
4950,wolf moon --,suddenly I see her,in a different light,,,,,,,"wolf moon --
suddenly I see her
in a different light",en
4951,hail storm,rearranging gravel,in the Zen garden,,,,,,,"hail storm
rearranging gravel
in the Zen garden",en
4952,winter rain --,a flowered umbrella,at the funeral,,,,,,,"winter rain --
a flowered umbrella
at the funeral",en
4953,dentro la Senna,il cielo appare privo,delle sue stelle,,,,,,,"dentro la Senna
il cielo appare privo
delle sue stelle",it
4954,pioggia di notte,si alternano colori,sopra l'asfalto,,,,,,,"pioggia di notte
si alternano colori
sopra l'asfalto",it
4955,sera d'inverno,tra due treni mi sento,di passaggio,,,,,,,"sera d'inverno
tra due treni mi sento
di passaggio",it
4956,the curved back,of a garden Buddha,winter rain,,,,,,,"the curved back
of a garden Buddha
winter rain",en
4957,all the birds,unnamed on the fence,spring rain,,,,,,,"all the birds
unnamed on the fence
spring rain",en
4958,sleepless night,same old song,over and over,,,,,,,"sleepless night
same old song
over and over",no
4959,sleep disorder,the gas station lights,keep me company,,,,,,,"sleep disorder
the gas station lights
keep me company",en
4960,the half-truths,in a well-lit room,midnight's rain,,,,,,,"the half-truths
in a well-lit room
midnight's rain",en
4961,midnight,I read haiku ,about sleep,,,,,,,"midnight
I read haiku 
about sleep",et
4962,the cold cry,of a magpie?,first light of day,,,,,,,"the cold cry
of a magpie?
first light of day",en
4963,winter driving,almost blinded,by a sun-dog,,,,,,,"winter driving
almost blinded
by a sun-dog",en
4964,hard frost all the new benches graffiti-tagged in silver,,,,,,,,,hard frost all the new benches graffiti-tagged in silver,en
4965,work done,my shadow reaches,the sunlit laurels,,,,,,,"work done
my shadow reaches
the sunlit laurels",en
4966,faltering resolutions the roof gutters still full of last year's leaves,,,,,,,,,faltering resolutions the roof gutters still full of last year's leaves,en
4967,all the suns,that we can muster,winter celandine,,,,,,,"all the suns
that we can muster
winter celandine",en
4968,unsuspected metastasis moss on the roof tiles,,,,,,,,,unsuspected metastasis moss on the roof tiles,en
4969,first pussy willow,I open my notebook,of unfinished poems,,,,,,,"first pussy willow
I open my notebook
of unfinished poems",en
4970,Théière brisée,la mémoire des tanins,rejoint la poubelle,,,,,,,"Théière brisée
la mémoire des tanins
rejoint la poubelle",fr
4971,flaque de pluie -,toucher,l'arc-en-ciel,,,,,,,"flaque de pluie -
toucher
l'arc-en-ciel",fr
4972,pluie d'hiver -,la grimace du bonhomme,de neige,,,,,,,"pluie d'hiver -
la grimace du bonhomme
de neige",fr
4973,a ladder leans,into the scent of apples ...,orchard fog,,,,,,,"a ladder leans
into the scent of apples ...
orchard fog",en
4974,drifting jet trails,half a haiku searches,for enlightenment,,,,,,,"drifting jet trails
half a haiku searches
for enlightenment",en
4975,crescent moon,the new home still full,of echoes,,,,,,,"crescent moon
the new home still full
of echoes",en
4976,winter window,closed to the cold -,purple orchid,,,,,,,"winter window
closed to the cold -
purple orchid",en
4977,spring cleaning,long neglected baseball cards,see the light of day,,,,,,,"spring cleaning
long neglected baseball cards
see the light of day",en
4978,the evasive look,of a teen without make up,first buds,,,,,,,"the evasive look
of a teen without make up
first buds",en
4979,after the storm,the streets,have no names,,,,,,,"after the storm
the streets
have no names",en
4980,early autumn --,the golden highlights,in her green hair,,,,,,,"early autumn --
the golden highlights
in her green hair",en
4981,bus stop-,the winter dance,of cold feet,,,,,,,"bus stop-
the winter dance
of cold feet",en
4982,scent of rain,all the ways,we failed each other,,,,,,,"scent of rain
all the ways
we failed each other",en
4983,cherry trees,fifty shades,of pink,,,,,,,"cherry trees
fifty shades
of pink",en
4984,winter roses,I am tired of reading,between the lines,,,,,,,"winter roses
I am tired of reading
between the lines",en
4985,mudslide,the last rain of 2005,segues into '06,,,,,,,"mudslide
the last rain of 2005
segues into '06",en
4986,An neuf -,la même rue ce matin,le silence en plus,,,,,,,"An neuf -
la même rue ce matin
le silence en plus",fr
4987,poubelles  éventrées ,le saumon achève son  voyage ,premier  matin,,,,,,,"poubelles  éventrées 
le saumon achève son  voyage 
premier  matin",fr
4988,Fin novembre -,arrosant les rares soucis,encore en fleurs,,,,,,,"Fin novembre -
arrosant les rares soucis
encore en fleurs",fr
4989,le slip rouge,de la violoncelliste -,concert à Luçon,,,,,,,"le slip rouge
de la violoncelliste -
concert à Luçon",fr
4990,seule sa chaussure,gauche crisse --,sortie de la messe,,,,,,,"seule sa chaussure
gauche crisse --
sortie de la messe",fr
4991,Les bas quadrillés,sur les belles cuisses de cette femme,- sudoku ?,,,,,,,"Les bas quadrillés
sur les belles cuisses de cette femme
- sudoku ?",fr
4992,new year's balloons -,the pregnant woman,staring at the mirror,,,,,,,"new year's balloons -
the pregnant woman
staring at the mirror",en
4993,cloudy sunset -,a lone traffic light,turns red,,,,,,,"cloudy sunset -
a lone traffic light
turns red",en
4994,first snow . . .,next to the new calendar,a clean slate,,,,,,,"first snow . . .
next to the new calendar
a clean slate",en
4995,nightfall --,shooting stars,on the power lines,,,,,,,"nightfall --
shooting stars
on the power lines",en
4996,new widescreen tv:,watching junk in,high definition,,,,,,,"new widescreen tv:
watching junk in
high definition",en
4997,scrabble dictionary--,lighting one candle,from another,,,,,,,"scrabble dictionary--
lighting one candle
from another",en
4998,la maison se vide,deux chaises vêtues de rouge,discutent de leur sort,,,,,,,"la maison se vide
deux chaises vêtues de rouge
discutent de leur sort",fr
4999,forêt de Lascaux,voitures et téléphones,groupe de chasseurs,,,,,,,"forêt de Lascaux
voitures et téléphones
groupe de chasseurs",fr
5000,j'enfile mes chaussettes,elle me parle,de sucres lents,,,,,,,"j'enfile mes chaussettes
elle me parle
de sucres lents",fr
5001,Friday the 13th --,a bit of volcanic ash,in the winter fog,,,,,,,"Friday the 13th --
a bit of volcanic ash
in the winter fog",en
5002,Naissance du jour,un avion silencieux,traverse la lune,,,,,,,"Naissance du jour
un avion silencieux
traverse la lune",fr
5003,Route de nuit,Miles Davis à la trompette,pour seul compagnon,,,,,,,"Route de nuit
Miles Davis à la trompette
pour seul compagnon",fr
5004,night of stars,in the next room,my sick mother,,,,,,,"night of stars
in the next room
my sick mother",en
