0,1,2,source,0_syllables,1_syllables,2_syllables
our pilgrim fathers sleep,the ocean broad and deep,beside their graves,img2poems,"6,7",6,4
let liberty arise,her glory fill the skies,the world be free,img2poems,6,6,4
to arms,to arms,to arms in dixie,img2poems,2,2,5
lo,all the beacon-fires are lighted,let all hearts be now united,img2poems,1,7,8
if the loved ones weep in sadness,victory soon shall bring them gladness,to arms,img2poems,8,"8,9",2
for freedom is its own eternal law,it makes its own conditions and in storm,or calm alike fulfils the unerring will,img2poems,10,10,12
for ever in thine eyes o liberty,shines that high light whereby the world is saved,and though thou slay us we will trust in thee,img2poems,10,10,"10,11"
be patient o be patient,though yet our hopes are green,the harvest-field of freedom shall be crowned with the sunny sheen,img2poems,7,"6,7",14
no,in ourselves their souls exist,a part of ours,img2poems,1,"8,7","4,5"
and murder sullies in heaven's sight,the sword he draws,what can alone ennoble fight,img2poems,9,4,8
and place our trophies where men kneel,to heaven,but heaven rebukes my zeal,img2poems,"8,9",3,7
a prowling wolf whose shaggy skin,hid little but his bones,once met a mastiff dog astray,img2poems,8,6,8
what's that,he cries,oh nothing but a speck,img2poems,2,2,6
a speck,ay ay: 'tis not enough to pain me,perhaps the collar's mark by which they chain me,img2poems,2,9,11
it ought to be a precious price,which could to servile chains entice,for me i'll shun them while i've wit,img2poems,8,8,8
for vengeance,rouse ye romans,rouse ye slaves,img2poems,3,4,3
shrine of the mighty,can it be,that this is all remains of thee,img2poems,5,3,8
these waters blue that round you lave,o servile offspring of the free,pronounce what sea what shore is this,img2poems,8,8,8
hereditary bondsmen,know ye not,who would be free themselves must strike the blow,img2poems,7,3,10
greece,change thy lords thy state is still the same,thy glorious day is o'er but not thy years of shame,img2poems,1,9,14
where burning sappho loved and sung,where grew the arts of war and peace,where delos rose and phoebus sprung,img2poems,8,8,8
earth,render back from out thy breast,a remnant of our spartan dead,img2poems,1,7,"8,9"
what,silent still,and silent all,img2poems,1,3,4
hark,rising to the ignoble call,how answers each bold bacchanal,img2poems,1,8,8
the tyrant of the chersonese,was freedom's best and bravest friend,that tyrant was miltiades,img2poems,8,8,7
slaves cannot breathe in england if their lungs,receive our air that moment they are free,they touch our country and their shackles fall,img2poems,10,"10,11","10,11"
and when we come to london wall,we'll shout with it in view,'come forth come forth ye cowards all,img2poems,8,6,8
make way for liberty,he cried,made way for liberty and died,img2poems,6,2,8
yet though destruction sweep these lovely plains,rise fellow-men,our country yet remains,img2poems,10,3,"6,7"
sarmatia fell unwept without a crime,found not a generous friend a pitying foe,strength in her arms nor mercy in her woe,img2poems,11,12,10
hark,hark,what myriads bid you rise,img2poems,1,1,7
to arms,to arms,ye brave,img2poems,2,2,2
to arms,to arms,ye brave etc,img2poems,2,2,6
o liberty,can man resign thee,once having felt thy generous flame,img2poems,4,5,9
art thou from tuscany brother,and seest thou dreaming in pain,thy mother stand in the piazza searching the list of the slain,img2poems,8,8,16
faint with that strain of heart she moved on then to another,stern and strong in his death,and dost thou suffer my brother,img2poems,14,6,8
holding his hands in hers: out of the piedmont lion,cometh the sweetness of freedom,sweetest to live or to die on,img2poems,13,8,8
flag of the brave,thy folds shall fly,the sign of hope and triumph high,img2poems,4,4,8
where breathes the foe but falls before us,with freedom's soil beneath our feet,and freedom's banner streaming o'er us,img2poems,"9,10","8,9","10,11"
and where is that band who so vauntingly swore,that the havoc of war and the battle's confusion,a home and a country should leave us no more,img2poems,11,13,"11,12"
o,thus be it ever when freemen shall stand,between their loved homes and the war's desolation,img2poems,1,10,12
on every hill they lie,on every field of strife made red,by bloody victory,img2poems,"6,7","8,9","5,6"
the lights on brimming crystal fell,drawn sparkling from the rivulet head,and mossy well,img2poems,8,"9,10",4
the new is old the old is new,the cycle of a change sublime,still sweeping through,img2poems,8,8,4
though the cause of evil prosper yet 'tis truth alone is strong,and albeit she wander outcast now i see around her throng,troops of beautiful tall angels to enshield her from all wrong,img2poems,15,16,15
[footnote a: arousing of anti-slavery agitation when it was proposed,in congress to abolish the missouri compromise and throw open the,territories to slavery if their people should so vote,img2poems,16,19,15
and every bondman's chain be broke,and every soul that moves abroad,in this wide realm shall know and feel,img2poems,"8,9","8,9",8
[footnote a: fremont's proclamation of martial law in missouri in,august  declaring free all slaves of rebels was received with,ardor by the north but annulled by president lincoln as premature,img2poems,16,15,18
a brave man's part without the statesman's tact,and taking counsel but of common sense,to strike at cause as well as consequence,img2poems,10,10,10
you may seek her crew on every isle,but out of their rest no charm can wile,jason and orpheus and hercules,img2poems,"9,10",9,10
loud and long that all may hear,ring for every listening ear,of eternity and time,img2poems,7,"8,9,7",7
let us kneel,god's own voice is in that peal,and this spot is holy ground,img2poems,"3,4",7,7
did we dare,in our agony of prayer,ask for more than he has done,img2poems,3,"8,9,7",7
when was ever his right hand,over any time or land,stretched as now beneath the sun,img2poems,7,7,7
it shall bid the sad rejoice,it shall give the dumb a voice,it shall belt with joy the earth,img2poems,7,7,7
with a sound of broken chains,tell the nations that he reigns,who alone is lord and god,img2poems,7,7,7
so spake the son and into terror changed,his countenance too severe to be beheld,and full of wrath bent on his enemies,img2poems,10,11,10
he on his impious foes right onward drove,gloomy as night: under his burning wheels,the steadfast empyrean shook throughout,img2poems,11,10,10
calyphas,my lord but this is dangerous to be done,we may be slain or wounded ere we learn,img2poems,3,11,10
come boys and with your fingers search my wound,and in my blood wash all your hands at once,while i sit smiling to behold the sight,img2poems,10,10,10
calyphas,i know not what i should think of it methinks it is a,pitiful sight,img2poems,3,14,4
sound all to arms,call in the captains,i would speak with them,img2poems,4,5,5
ye all are free to go,what,no man stirs,img2poems,6,1,3
gods,can a roman senate long debate,which of the two to choose slavery or death,img2poems,1,9,11
rouse up for shame,our brothers of pharsalia,point at their wounds and cry aloud to battle,img2poems,4,"8,7",11
but down swept all his power,with chariot and with charge,down poured the arrows' shower,img2poems,7,7,7
and new triumphs on land are before us,to the charge,heaven's banner is o'er us,img2poems,"10,11",3,"8,9"
strike home,and the world shall revere us,as heroes descended from heroes,img2poems,2,"8,7",9
with bucklers braced before their breasts with lances pointing low,with stooping crests and heads bent down above the saddle-bow,all firm of hand and high of heart they roll upon the foe,img2poems,15,13,14
hakon,well 'tis good away,and deeply bury it in the dark earth,img2poems,2,5,10
bury the body with it,tell thy lord,that he shall come at once,img2poems,7,3,6
olaf,a midday slumber he lies stretched,stiffly beneath a shadowy elder-tree,img2poems,2,8,10
hakon,my choice is made,i choose the latter olaf,img2poems,2,4,7
he held a red-hot iron in his hand,after by magic he had covered it,with witches' ointment,img2poems,9,10,5
our custom is to heartily despise you,to ruminate upon your fall and death,as foes to gods and to a hero's life,img2poems,"11,12",10,10
rest thee while from thy brow i wipe the big drops,and the blood from thy cheek,that cheek how glowing,img2poems,11,6,5
be of good cheer your cause belongs,to him who can avenge your wrongs,leave it to him our lord,img2poems,8,8,"6,7"
though hidden now from all our eyes,he sees the gideon who shall rise,to save us and his word,img2poems,"8,9",9,"6,7"
as true as god's own word is true,not earth or hell with all their crew,against us shall prevail,img2poems,8,8,"6,7"
a jest and by-word are they grown,god is with us we are his own,our victory cannot fail,img2poems,7,"8,9","8,6,7"
and i to thee by heaven,my light steel life have given,when shall the knot be tied,img2poems,7,7,6
my heart is wildly beating,come bridegroom come for me,my garland waiteth thee,img2poems,7,6,6
thou springing grass that art so green,shall soon be rosy red i ween,my blood the hue supplying,img2poems,8,9,7
i drink the first glass sword in hand,to him who for the fatherland,lies dying,img2poems,8,8,3
now quickly comes the second draught,and that shall be to freedom quaffed,while freedom's foes are flying,img2poems,8,9,7
but redder yet that light shall glow,and bloodier yet the torrent flow,of iser rolling rapidly,img2poems,8,9,8
the combat deepens,on ye brave,who rush to glory or the grave,img2poems,5,3,8
wave munich,all thy banners wave,and charge with all thy chivalry,img2poems,3,5,8
the snow shall be their winding-sheet,and every turf beneath their feet,shall be a soldier's sepulchre,img2poems,7,"8,9",8
now let there be the merry sound of music and the dance,through thy corn-fields green and sunny vines o pleasant land of,france,img2poems,14,13,1
hurrah,hurrah,a single field hath turned the chance of war,img2poems,2,2,10
hurrah,hurrah,for ivry and henry of navarre,img2poems,2,2,9
a thousand knights are pressing close behind the snow-white crest,and in they burst and on they rushed while like a guiding star,amidst the thickest carnage blazed the helmet of navarre,img2poems,13,14,14
and then we thought on vengeance and all along our van,remember saint bartholomew,was passed from man to man,img2poems,"13,14",8,6
oh,was there ever such a knight in friendship or in war,as our sovereign lord king henry the soldier of navarre,img2poems,1,13,"14,15"
up with it high unfurl it wide that all the host may know,how god hath humbled the proud house which wrought his church such,woe,img2poems,14,13,1
ho,philip send for charity thy mexican pistoles,that antwerp monks may sing a mass for thy poor spearmen's souls,img2poems,1,13,15
hard soldier in unending quarrel,who cost so much of insult blood and tears,for only a few boughs of laurel,img2poems,9,10,9
by thor,who bandy looks with us,must worse than looks endure,img2poems,2,"6,7",6
who fought and swayed so long,shall soon but live in minstrel words,and owe your names to song,img2poems,6,8,6
when chief and monarch fall,their names in song shall breathe again,and thrill the feastful hall,img2poems,6,8,6
and guthrum cried nay bard no more,we hear thy boding lay,make drunk the song with spoil and gore,img2poems,8,6,8
with all its death before my soul,the vision rises fair,raise loud the song and drain the bowl,img2poems,8,6,8
next day did many widows come,their husbands to bewail,they washed their wounds in brinish tears,img2poems,8,6,8
the first word that sir patrick read,the neist word that sir patrick read,the tear blinded his e'e,img2poems,8,9,6
for he pulled up the bonny brier,and flang 'tin st,mary's loch,img2poems,9,4,3
though ne'er a buck appear,there's health for horse and gentleman,a-hunting of the deer,img2poems,6,8,4
fathers that like so many alexanders,have in these parts from morn till even fought,and sheathed their swords for lack of argument,img2poems,11,10,10
a steed,a steed of matchlesse speed,a sword of metal keene,img2poems,2,6,6
and hark,like the roar of the billows on the shore,the cry of battle rises along their charging line,img2poems,2,10,13
down,down,forever down with the mitre and the crown,img2poems,1,1,11
o'brien's voice is hoarse with joy as halting he commands,fix bayonets charge,like mountain-storm rush on those fiery bands,img2poems,14,5,10
revenge,remember limerick,dash down the sacsanagh,img2poems,2,6,6
the english strove with desperate strength paused rallied scattered,fled,the green hillside is matted close with dying and with dead,img2poems,"13,14",1,14
again,again,again,img2poems,2,2,2
the sturdy trooper straight repeated,when all the village cheers us on,that you in tears apart are seated,img2poems,9,"8,9",9
but hush,hark,a deep sound strikes like a rising knell,img2poems,2,1,9
or whispering with white lips the foe,they come,they come,img2poems,9,2,2
theirs but to do and die,into the valley of death,rode the six hundred,img2poems,6,7,5
there was one of us a corporal's wife,a fair young gentle thing,wasted with fever in the siege,img2poems,"10,11",6,8
and now they played auld lang syne,it came to our men like the voice of god,and they shouted along the line,img2poems,7,"10,11",8
small was the band that escaped from the slaughter,flying for life as the tide 'gan to flow,hast thou no pity thou dark rolling water,img2poems,11,10,11
through darksome night till dawn of day,absorbed in wakeful thoughts he lay,of scotland and her crown,img2poems,8,8,6
wha for scotland's king and law,freedom's sword will strongly draw,freeman stand or freeman fa,img2poems,7,7,7
by our sons in servile chains,we will drain our dearest veins,but they shall be free,img2poems,"8,7","8,7",5
blooming at beltane in winter to fade,when the whirlwind has stripped every leaf on the mountain,the more shall clan-alpine exult in her shade,img2poems,10,"13,14",9
o that some seedling gem,worthy such noble stem,honored and blessed in their shadow might grow,img2poems,6,6,10
but moray wheeled his rearward flank,of horsemen on clan-alpine's flank,my bannerman advance,img2poems,9,6,6
now gallants,for your ladies' sake,upon them with the lance,img2poems,3,5,6
faster and faster,chief vassal page and groom,tenant and master,img2poems,5,6,5
no longer blount the view could bear,by heaven and all its saints i swear,i will not see it lost,img2poems,8,9,6
fitz-eustace you with lady clare,may bid your beads and patter prayer,i gallop to the host,img2poems,6,"8,9",6
the fiery youth with desperate charge,made for a space an opening large,the rescued banner rose,img2poems,"9,10",9,6
young blount his armor did unlace,and gazing on his ghastly face,said by saint george he's gone,img2poems,8,8,6
for wasting fire and dying groan,and priests slain on the altar stone,might bribe him for delay,img2poems,"8,9",8,6
but hear o ye swains 'tis a tale most profane,how all the tyrannical powers,kings commons and lords are united amain,img2poems,11,9,11
in their ragged regimentals,stood the old continentals,yielding not,img2poems,8,7,3
and got a mighty name sir,cornwallis jigged with young fayette,but suffered in his fame sir,img2poems,7,8,7
his music soon forgets to play,his feet can move no more sir,and all his bands now curse the day,img2poems,8,7,8
come is not this a griper,that while your hopes are danced away,'tis you must pay the piper,img2poems,7,8,7
hark to the ominous sound,how the far-off gales their battle form,and the great sea-swells feel ground,img2poems,7,8,6
one hand is fallen in the sea,the gulf stream drifts it far and free,and in that hand her shining brand gleams from the depths resplendently,img2poems,8,8,16
for panoply and coronal,the mighty immemorial,and everlasting canopy and starry arch and shield of all,img2poems,8,8,16
the dead line and the pent-up pen,the thousands quartered in the fen,the living-deaths of skin and bone that were the goodly shapes of men,img2poems,7,8,15
and his great darkness with the pall,of his dread judgment cover all,till the dead nation rise transformed by truth to triumph over all,img2poems,8,8,16
it's you thet's to decide,ain't your bonds held by fate john,like all the world's beside,img2poems,6,7,6
ah captain,here goes for a fine-drawn bead,there's music around when my barrel's in tune,img2poems,3,6,11
crack,went the rifle the messenger sped,and dead from his horse fell the ringing dragoon,img2poems,1,9,11
strangle the fool that dares to scoff,attention,it's his way,img2poems,8,3,3
quick step,we're with him before morn,that's stonewall jackson's way,img2poems,2,6,6
charge stuart,pay off ashby's score,in stonewall jackson's way,img2poems,"2,3",5,6
ah maiden,wait and watch and yearn,for news of stonewall's band,img2poems,3,5,6
ah widow,read with eyes that burn,that ring upon thy hand,img2poems,3,5,6
honor to her,and let a tear,fall for her sake on stonewall's bier,img2poems,4,4,8
one look to heaven,no thoughts of home,the guidons that we bear are dearer,img2poems,5,4,9
cling,clang,forward all,img2poems,1,1,3
breathe a prayer but no sigh think for what you would fight,then charge,with a will boys and god for the right,img2poems,"12,13",2,9
how he strode his brown steed,how we saw his blade brighten,in the one hand still left and the reins in his teeth,img2poems,6,7,12
what to him is friend or foeman,rise of moon or set of sun,hand of man or kiss of woman,img2poems,8,7,8
what cares he,he cannot know,lay him low,img2poems,3,4,3
at last from out the centre fight,spurred up a general's aide,that battery must silenced be,img2poems,8,"6,7",8
when midst the storm of shell,our leader with his sword upraised,beneath our bayonets fell,img2poems,6,"8,9","8,7"
up,up the hill we followed bill,and we captured every gun,img2poems,1,7,"8,7"
by heavens,the foemen may track me in blood,for this hole in my breast is outpouring a flood,img2poems,3,8,12
no,no surgeon for me he can give me no aid,the surgeon i want is pickaxe and spade,img2poems,1,11,10
but we stood did we not,like immovable rock,unheeding their balls and repelling their shock,img2poems,6,6,11
did you mind the loud cry,when as turning to fly,our men sprang upon them determined to die,img2poems,6,6,"11,12"
great heavens,this bullet-hole gapes like a grave,a curse on the aim of the traitorous knave,img2poems,3,7,11
here morris old fellow get hold of my hand,and wilson my comrade o wasn't it grand,when they came down the hill like a thunder-charged cloud,img2poems,11,11,11
where's wilson my comrade,here stoop down your head,can't you say a short prayer for the dying and dead,img2poems,6,5,"12,13"
confusion to traitors,keep hold of my hand,and float the old flag o'er a prosperous land,img2poems,6,5,12
impatient to be where the battle-field calls,every nerve of the charger was strained to full play,with sheridan only ten miles away,img2poems,10,"12,13","10,11"
what was it a dream,am i all alone,in the dreary night and the drizzling rain,img2poems,5,"5,6","10,11"
hist,ah it was only the river's moan,they have left me behind with the mangled slain,img2poems,1,9,11
we met from the battling ranks apart,together our weapons hashed and fell,and mine was sheathed in his quivering heart,img2poems,"9,10","9,10",10
my brother,would i had died for thee,this burden is more than my soul can bear,img2poems,3,6,10
yea it was noblest for him it was best,there to pass over the river and rest,under the shade of the trees,img2poems,10,10,7
our spirits high with new emprise,ambitious of each exercise,and glowing with a martial thirst,img2poems,"8,9",8,8
athwart the gloom the lightning flashed,and through the cloud some horsemen dashed,and from the heights the thunder pealed,img2poems,8,8,8
a khamsin wind that scorched and singed,like that infernal flame that fringed,the british squares at waterloo,img2poems,8,8,8
virginia cried to tennessee,we two together come what may,shall stand upon these works to-day,img2poems,8,8,7
the tattered standards of the south,were shrivelled at the cannon's mouth,and all her hopes were desolate,img2poems,8,8,8
in vain virginia charged and raged,a tigress in her wrath uncaged,till all the hill was red and wet,img2poems,8,8,8
the brave went down,without disgrace,they leaped to ruin's red embrace,img2poems,4,4,8
they only heard fame's thunders wake,and saw the dazzling sun-burst break,in smiles on glory's bloody face,img2poems,8,"8,7",8
they smote and fell who set the bars,against the progress of the stars,and stayed the march of motherland,img2poems,8,8,8
they smote and stood who held the hope,of nations on that slippery slope,amid the cheers of christendom,img2poems,8,"8,9",8
god lives,he forged the iron will,that clutched and held that trembling hill,img2poems,2,6,"8,9"
a mighty mother turns in tears,the pages of her battle years,lamenting all her fallen sons,img2poems,8,8,8
follow me,steady,we'll save the day,img2poems,3,2,4
this was what he seemed to say,and to the light of his glorious eye,the bold brigades thus made reply,img2poems,7,10,8
we'll go forward but you must go back,and they moved not an inch in the perilous track,go to the rear and we'll send them to hell,img2poems,9,12,10
touch it not unfold it never,let it droop there furled forever,for its people's hopes are fled,img2poems,8,8,7
look within,there's an empty stall,where once stood a charger and that is all,img2poems,3,5,10
all,o god,it is all i can speak,img2poems,1,2,6
question me not i am old and weak,his sabre and his saddle hang on the wall,and his horse pined to death i have told you all,img2poems,"9,10",11,11
a cheer and salute for the admiral and here's to the captain bold,and never forget the commodore's debt when the deeds of might are,told,img2poems,17,16,1
now are our brows bound with victorious wreaths,our stern alarums changed to merry meetings,our dreadful marches to delightful measures,img2poems,"11,12","11,12","11,12"
o son of peace,the giant cried thy fate,is sealed at last and love shall yield to hate,img2poems,4,6,10
the unarmed buddha looking with no trace,of fear or anger in the monster's face,in pity said poor fiend even thee i love,img2poems,10,10,11
and the red sparks lit the air,not alone for the blade was the bright steel made,and he fashioned the first ploughshare,img2poems,7,11,8
our stanch good friend is he,and for the ploughshare and the plough,to him our praise shall be,img2poems,"6,7",8,"6,7"
where may the grave of that good man be,by the side of a spring on the breast of helvellyn,under the twigs of a young birch-tree,img2poems,9,"13,14",8
but what are the deeds of to-day,in the days of the years we dwell in,that wear our lives away,img2poems,7,9,"6,7"
there are three words to speak,we will it and what is the foeman,but the dream-strong wakened and weak,img2poems,6,9,7
the lightnings may flash and the loud thunders rattle,he heeds not he hears not he's free from all pain,he sleeps his last sleep he has fought his last battle,img2poems,12,11,12
alas,they have perished in far hilly regions,and all save the fame of their triumph is gone,img2poems,2,10,11
though nations may combat and war's thunders rattle,no more on the steed wilt thou sweep o'er the plain,thou sleep'st thy last sleep thou hast fought thy last battle,img2poems,12,12,12
nay nay my little girl,quoth he,it was a famous victory,img2poems,6,2,"8,7"
watch that they spread where english blood is spilt,lest mixed and sullied with his country's guilt,the soldier's life-stream flow and heaven displease,img2poems,10,10,10
two swords there are: one naked apt to smite,thy blade of war and battle-storied one,rejoices in the sheath and hides from light,img2poems,10,8,10
their shivered swords are red with rust,their haughty banner trailed in dust,is now their martial shroud,img2poems,8,8,6
ah,what a sound will rise how wild and dreary,when the death-angel touches those swift keys,img2poems,1,10,8
the soldiers' guard was brief,whilst right is right and wrong is wrong,ye may not seek relief,img2poems,6,8,6
there is no holier spot of ground,than where defeated valor lies,by mourning beauty crowned,img2poems,9,8,6
waiting the judgment-day,wet with the rain the blue,wet with the rain the gray,img2poems,5,6,6
posting date: december,release date: february,first posted: october,img2poems,6,7,6
mother says i is that a pie,in tones akin to scorning,it is my son quoth she and one full ripe for christmas morning,img2poems,8,7,15
but in the parlor,oh the gems on tables walls and floor,rare first editions etchings and old crockery galore,img2poems,5,9,14
the landlord allowed he was proud,to do the fair thing by that talented crowd,on the rhine generous rhine,img2poems,8,11,7
so a thimble filled he as full as could be,drink long and drink hearty my jolly friends three,of my wine filling wine,img2poems,11,11,6
and when ah when the bonds fall due how passing wroth will wax the,state,from nebo's mount to nazareth will spread the cry repudiate,img2poems,15,1,16
thought the youth and spread his snare,eros chuckling at the blunder,gayly scampered here and there,img2poems,7,8,7
i was young i did not know,whom it was that venus led,that was many years ago,img2poems,7,7,7
o heart of mine,lift up thine eyes,and see who in yon manger lies,img2poems,4,4,8
and the next cavalier sung with make-believe tears,i've loved you,i've loved you these many long years,img2poems,10,3,8
i have looked for the king this many a day,but the years that mock me will not say,why tarrieth he,img2poems,11,9,5
oh is it the king come back to me,proudly and fiercely rideth he,with centuries dight,img2poems,9,8,5
why they gave him turbans red,to adorn his hairless head,and knitted jaunty nightcaps to protect him when abed,img2poems,7,7,14
in vain the rest demurred,not a single chiding word,those ladies deigned to tolerate remonstrance was absurd,img2poems,6,7,14
then the other members said,gott im himmel,what a head,img2poems,7,4,3
and this wonderment increased,till the sympathetic priest,inquired of those same ladies: why this fuss about deceased,img2poems,7,7,15
whereupon were they appalled,for as one those women squalled,we doted on deceased for being bald bald bald,img2poems,7,7,12
these and ten thousand other spectres harrow and condemn,the man who's blown in twenty by nine o'clock a,m,img2poems,14,12,1
they were the boys and they the girls who shared my youthful play,they do not answer to my call,my playmates where are they,img2poems,14,8,6
o cottage 'neath the maples have you seen those girls and boys,that but a little while ago made oh,such pleasant noise,img2poems,14,10,4
there's store of wealth,and more of health,in every glass we think,img2poems,4,4,"6,7"
and from the bowl,no genial soul,in such an hour can shrink,img2poems,4,4,"6,7"
and from the bowl,no genial soul,in such an hour will shrink,img2poems,4,4,"6,7"
there's fellowship,in every sip,of friendship's brew we think,img2poems,4,"4,5",6
and when they saw that cunning little mite,they cried in a chorus expressive of delight,what a cute little boy,img2poems,10,12,6
why a cute little boy,a funny little boy,a dear little bow-leg boy,img2poems,6,6,6
now some might suppose that that beautiful bird,performed for her babies the music they heard,for the folk in the little straw parlor don't you,img2poems,11,11,12
she thought silly girl,'t was a beau come to woo,but i guess it was only the cricket don't you,img2poems,5,7,12
't is there to find the loveliest plates,at such surprisingly low rates,you'd not believe it true,img2poems,10,8,6
and there is one napoleon vase,i'm sure you'd like to know that place,but no i will not tell,img2poems,"8,9",8,6
thy breath that was fragrant anon with rapture of music and loving,it grieveth all things with its sting and the frost of its wailing,displeasure,img2poems,17,15,3
with togas battle axes shields we made a dazzling show,when we were roman soldiers with brutus in st,jo,img2poems,"14,15",12,1
for love of art not lust for gold consumed us years ago,when we were roman soldiers with brutus in st,jo,img2poems,"14,15",12,1
my lips were sealed but that it seems quite proper you should know,that rome was nowhere in it at philippi in st,jo,img2poems,14,13,1
and after all my suffering it were not hard to show,that i got my allopathic dose with brutus at st,jo,img2poems,"13,14",14,1
oh yes i travelled far and fast that night and i can show,the scars of honest wounds i got with brutus in st,jo,img2poems,14,13,1
by which you see that public taste has fallen mighty low,since we fought as roman soldiers with brutus in st,jo,img2poems,14,13,1
he was not dead,i found him there,the pan that i was after,img2poems,4,4,7
it is to hear his voices,in every note and every line,wherein the heart rejoices,img2poems,7,"8,9,10",7
the wolf was very loath to stay,but oh,he could not get away,img2poems,8,2,6
darned if we know but all the same,happy as larks are we,and happier still we're going to be,img2poems,8,6,10
said lyman,and frederick,and jim,img2poems,3,"3,4",2
so it was peter,all day calling reminding and chiding,peter neglected his work therefore that nagging at peter,img2poems,5,10,15
nor is it stated or guessed what was the trend of those volumes,what thing soever it was done with a pen and a pencil,wrought with a brain not a hoe surely 't was hostile to farming,img2poems,15,15,16
fudge on all readin,they quoth or that's what's the ruin of,peter,img2poems,6,9,2
peter derided these things held in such faith by the farmer,scouted at magic and charms hooted at jonahs and hoodoos,thinking and reading of books must have unsettled his reason,img2poems,15,15,15
surely enough he went out into the damp of the morning,into the smudge that the witch spread over woodland and meadow,into the fleecy gray pall brooding on hillside and valley,img2poems,15,15,15
laughing and scoffing he strode into that hideous vapor,just as he said he would do just as he bantered and threatened,ere they could fasten the door peter had done gone and done it,img2poems,15,15,15
wasting his time over books you see had unsettled his reason,soddened his callow young brain with semi-pubescent paresis,and his neglect of his chores hastened this evil condition,img2poems,16,12,15
this is the legend of old told in the tum-titty meter,which the great poets prefer being less labor than rhyming,nor have i further to say for the sad story is ended,img2poems,13,15,15
of deep humiliation for the sullen hired-girl,of grief for mother hating to see things wasted so,and of fortune for that little boy who pined to taste that dough,img2poems,13,13,15
it looked so sweet and yellow sure to taste it were no sin,but oh,how sister scolded if he stuck his finger in,img2poems,14,2,12
but oh,how should i hail the death,that brings that vinous grace to me,img2poems,2,6,8
but pretty girls and nice young men,observe a proper silence when,i chose to sing my lyrics to 'em,img2poems,8,8,9
this man loves farming that man law,while this one follows pathways martial,what moots it whither mortals turn,img2poems,8,9,8
so now good-by,to drugs say i,good-by thou phantom sorrow,img2poems,3,4,6
so speak the three as there they lay,when lo,the white stag sped that way,img2poems,8,2,6
on either margin our songs all done,we move apart while she singeth ever,taking the course of the stooping sun,img2poems,"9,10",10,9
false false a random charge a blame undue,wrest not fair reasoning to a crooked end,false false as you are true,img2poems,10,11,6
be pale afar since still to me you shine,and must while nature's eldest law shall hold,ah there's the thought which makes his random line,img2poems,10,10,10
take courage quoth he and respect the mind,your maker gave for good your fate fulfil,the fate round many hearts your own to wind,img2poems,10,10,10
false path,it cost me priceless years of life,my well-beloved friend,img2poems,2,8,3
o shame,they said such music is not meet,go up like ganymede,img2poems,2,8,6
alas,though ne'er for me those eagle wings,stooped from their eyry proud,img2poems,2,8,6
but strain to reach it ay with wrestlings stout,and hopes that even in the dark will grow,and ploddings wary and slow,img2poems,10,10,7
and can i see this light,it may be so,but see it thus and thus my fathers said,img2poems,6,4,10
if god indeed kept secret couldst thou know,or follow up the mighty artisan,unless he willed it so,img2poems,11,10,6
that which i know and that which i divine,alas,have left thee out,img2poems,10,2,4
i have aspired to know the might of god,as if the story of his love was furled,nor sacred foot the grasses e'er had trod,img2poems,10,10,11
o man with eyes majestic after death,whose feet have toiled along our pathways rough,whose lips drawn human breath,img2poems,10,"10,11",6
when i looked i dared not sigh: in the light of god's splendor,with his daily blue and gold who am i,what am i,img2poems,14,"10,11","3,4"
on that sultry august eve trouble had made me meek,i was tired of my sorrow o so faint for it was double,in the weight of its oppression that i could not speak,img2poems,13,16,13
with that he spread his white wings and swept across the water,lit upon the hooded head and it and all went down,and they laughed as they went under and i woke the old man's daughter,img2poems,14,13,16
o to be at least a cloud that near thee i might flow,solemnly approach the mountain weep away my being o'er thee,and veil thy breast with icicles and thy brow with snow,img2poems,13,17,13
m,i'm hearty lass but warm the weather's warm,i think 'tis mostly warm on market days,img2poems,1,10,10
m,all but this pat that i put by for george,he always loved my butter,img2poems,1,10,7
c,but i want one to play with o i want,a little yellow duck to take to bed,img2poems,1,10,10
f,now granny if you'll hold the babe awhile,'tis time i took up willie to his crib,img2poems,1,10,10
george,well mother 'tis a fortnight now or more,since i set eyes on you,img2poems,1,10,6
g,were not proud of them,eh mother,img2poems,1,5,3
m,i set store by mine 'tis true,but then i had good cause,img2poems,1,7,6
f,no he got his voice from you,do use it george and send the child to sleep,img2poems,1,7,10
g,ay of the purple grapes and crimson leaves,but mother put your shawl and bonnet off,img2poems,1,10,10
and frances lass i brought some cresses in,just wash them toast the bacon break some eggs,and let's to supper shortly,img2poems,10,10,7
oft have i wooed sweet lettice white,by daylight and by candlelight,when we two were apart,img2poems,8,8,6
some better day come on apace,and let me tell her face to face,maiden thou hast my heart,img2poems,8,8,6
how gently rock yon poplars high,against the reach of primrose sky,with heaven's pale candles stored,img2poems,8,8,7
she sees them all sweet lettice white,i'll e'en go sit again to-night,beside her ironing-board,img2poems,8,8,"5,6"
turn back the cradle-quilt and lay him in,and mother will you please to draw your chair,the supper's ready,img2poems,9,10,5
yet had i but the past she cries,and it was lost i would arise,and comfort me some other wise,img2poems,8,8,8
we had a message long ago,that like a river peace should flow,and eden bloom again below,img2poems,8,8,8
that was the last hill of the chain,and fair below i saw the plain,that seemed cold cheer to reprimand,img2poems,8,8,8
