Unnamed: 0,0,1,2,3,4,5,6,7,8,haiku,lang,0_syllables,1_syllables,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables
3778,temper tantrum ~,the ring of the axe blade,on redwood,,,,,,,"temper tantrum ~
the ring of the axe blade
on redwood",en,4,6,3,,,,,,
3779,same old moon,the blur of insects,against the stars,,,,,,,"same old moon
the blur of insects
against the stars",en,3,5,4,,,,,,
3780,hot morning,a bright red poppy buzzes,with seven bees,,,,,,,"hot morning
a bright red poppy buzzes
with seven bees",en,3,7,4,,,,,,
3781,brake lights,on the beach freeway ~,heat rise,,,,,,,"brake lights
on the beach freeway ~
heat rise",en,2,5,2,,,,,,
3782,Another day of rain,her tears fall also,which is which,Un autre jour de pluie,ses larmes tombent aussi,laquelle est laquelle,,,,"Another day of rain
her tears fall also
which is which
Un autre jour de pluie
ses larmes tombent aussi
laquelle est laquelle",en,6,5,3,"6,7",5,5,,,
3783,waiting for the sun,the clouds hide his face,first cup of coffee,,,,,,,"waiting for the sun
the clouds hide his face
first cup of coffee",en,5,5,5,,,,,,
3784,awake at 3 am,she drags her kimono,from room to room,,,,,,,"awake at 3 am
she drags her kimono
from room to room",en,"5,6",6,4,,,,,,
3786,a milky sea,mass of logs sit and rest,as an eagle soars,,,,,,,"a milky sea
mass of logs sit and rest
as an eagle soars",en,4,6,5,,,,,,
3787,downpour--,the dead animal smell,shifts toward memory,,,,,,,"downpour--
the dead animal smell
shifts toward memory",en,2,6,"5,6",,,,,,
3788,waiting by the door,the sun,rising,attendre à la porte,le soleil,levant,,,,"waiting by the door
the sun
rising
attendre à la porte
le soleil
levant",en,5,2,2,,3,2,,,
3790,morning blue sky---,a baker cleans,his oven,ciel bleu du matin ---,un boulanger nettoye,son four,,,,"morning blue sky---
a baker cleans
his oven
ciel bleu du matin ---
un boulanger nettoye
son four",en,4,4,3,5,"6,7",2,,,
3791,Sunday morning---,two dogs sniff each other,while their owners chat,Dimanche matin ---,deux chiens se sniffent,alors que leurs maîtres parlent,,,,"Sunday morning---
two dogs sniff each other
while their owners chat
Dimanche matin ---
deux chiens se sniffent
alors que leurs maîtres parlent",en,4,6,5,4,5,9,,,
3793,morning haze---,I finally adjust,the tv picture,brume du matin ---,j'ajuste enfin,l'image TV,,,,"morning haze---
I finally adjust
the tv picture
brume du matin ---
j'ajuste enfin
l'image TV",en,3,6,"5,7",4,4,"4,6",,,
3795,the heat wave---,thunder and lightening:,I go take a shower,la vague de chaleur ---,tonnerre et éclairs:,je vais prendre une douche,,,,"the heat wave---
thunder and lightening:
I go take a shower
la vague de chaleur ---
tonnerre et éclairs:
je vais prendre une douche",en,3,6,6,5,,7,,,
3804,100 degree heat,country-western music,from the asian bar,100 degrés (Fahrenheit),la musique country,du bar asiatique,,,,"100 degree heat
country-western music
from the asian bar
100 degrés (Fahrenheit)
la musique country
du bar asiatique",en,6,4,5,4,5,6,,,
3805,cherry blossoms,shedding in the moonlight--,the Milky Way,,,,,,,"cherry blossoms
shedding in the moonlight--
the Milky Way",en,4,6,4,,,,,,
3806,winter sky--,the white cat's eyes,bluer--,,,,,,,"winter sky--
the white cat's eyes
bluer--",en,3,4,2,,,,,,
3807,the coming of summer-,all the petals,i brushed off my hair,,,,,,,"the coming of summer-
all the petals
i brushed off my hair",en,6,4,5,,,,,,
3808,early in the morning,looking at fog,after the wedding,au petit matin,regardant le brouillard,après le mariage,,,,"early in the morning
looking at fog
after the wedding
au petit matin
regardant le brouillard
après le mariage",en,6,4,5,5,6,5,,,
3812,slug trail --,the truck dumps asphalt,in the paver,trace de limace --,le camion verse l'asphalte,sur le pavé,,,,"slug trail --
the truck dumps asphalt
in the paver
trace de limace --
le camion verse l'asphalte
sur le pavé",en,2,5,4,4,7,3,,,
3813,finished compost --,the vegetable garden feasts,on chocolate cake,,,,,,,"finished compost --
the vegetable garden feasts
on chocolate cake",en,4,7,4,,,,,,
3817,another day,the stilled heartbeat,on the ultrasound,(un autre jour,le battement de coeur calmé,à l'échographie),,,,"another day
the stilled heartbeat
on the ultrasound
(un autre jour
le battement de coeur calmé
à l'échographie)",en,4,4,5,3,6,,,,
3818,feelings of joy,float in and out,red seaweed,,,,,,,"feelings of joy
float in and out
red seaweed",en,4,4,3,,,,,,
3819,Counting the shades,of grey in the sea,and in his hair,Comptant les teintes,de gris de la mer,et de ses cheveux,,,,"Counting the shades
of grey in the sea
and in his hair
Comptant les teintes
de gris de la mer
et de ses cheveux",en,4,5,4,4,5,5,,,
3820,On the pillow,his bouquet of wild flowers,this last day of Spring,,,,,,,"On the pillow
his bouquet of wild flowers
this last day of Spring",en,4,7,"5,6",,,,,,
3823,Manhattan afternoon haze---,gay people no more,have to hide,Manhattan brume d'après-midi ---,les gays ne doivent plus,se cacher,,,,"Manhattan afternoon haze---
gay people no more
have to hide
Manhattan brume d'après-midi ---
les gays ne doivent plus
se cacher",en,7,5,3,5,7,3,,,
3828,red poppy dolls,sit alone by the beach -,dead children of Tohoku,,,,,,,"red poppy dolls
sit alone by the beach -
dead children of Tohoku",en,4,6,7,,,,,,
3829,crocus buds--,secrets we've kept,from each other,,,,,,,"crocus buds--
secrets we've kept
from each other",en,3,4,4,,,,,,
3832,summer twilight --,the clock ticks twice,for each cricket chirp,,,,,,,"summer twilight --
the clock ticks twice
for each cricket chirp",en,4,4,5,,,,,,
3835,cancer clinic visit,day breaking from the night,a seaplane is waiting,,,,,,,"cancer clinic visit
day breaking from the night
a seaplane is waiting",en,6,6,6,,,,,,
3836,night rain,a bus rumbles through,the croaking of frogs,,,,,,,"night rain
a bus rumbles through
the croaking of frogs",en,2,5,5,,,,,,
3837,blue clouds at sunset---,an American flag,is lowered for the night,,,,,,,"blue clouds at sunset---
an American flag
is lowered for the night",en,5,6,6,,,,,,
3838,Summer strawberries---,they always remind me,of soul kissing,,,,,,,"Summer strawberries---
they always remind me
of soul kissing",en,5,6,4,,,,,,
3839,July---,I skip the sunset,and wait for the fireflies,,,,,,,"July---
I skip the sunset
and wait for the fireflies",en,2,5,7,,,,,,
3840,this morning thunder and lightening-,tomorrow's night:,July Fourth,,,,,,,"this morning thunder and lightening-
tomorrow's night:
July Fourth",en,9,4,3,,,,,,
3841,IN GOD WE TRUST---,an immigrant looks at,a dollar bill first time,,,,,,,"IN GOD WE TRUST---
an immigrant looks at
a dollar bill first time",en,4,6,6,,,,,,
3842,July sunset---,the redness of people,coming back from the beach,,,,,,,"July sunset---
the redness of people
coming back from the beach",en,4,6,6,,,,,,
3843,hot city night --,the sizzle,of a broken sub-woofer,,,,,,,"hot city night --
the sizzle
of a broken sub-woofer",en,4,3,5,,,,,,
3845,croissant crumbs,I try and find,the right words,,,,,,,"croissant crumbs
I try and find
the right words",en,3,4,3,,,,,,
3846,summer rainstorm,the balloon man,sells umbrellas,,,,,,,"summer rainstorm
the balloon man
sells umbrellas",en,4,4,4,,,,,,
3847,sunset,the fisherman's silhouette,edged with light,,,,,,,"sunset
the fisherman's silhouette
edged with light",en,2,7,3,,,,,,
3848,no moon,the hiss of the ocean,against the cliff,,,,,,,"no moon
the hiss of the ocean
against the cliff",en,2,6,4,,,,,,
3849,half-mast --,september sunshine streams,through green maple leaves,,,,,,,"half-mast --
september sunshine streams
through green maple leaves",en,1,6,5,,,,,,
3850,october haze,a frayed american flag,on the new pickup,,,,,,,"october haze
a frayed american flag
on the new pickup",en,4,7,5,,,,,,
3851,turning leaves,"red, white and blue bunting",covers the mailbox,,,,,,,"turning leaves
red, white and blue bunting
covers the mailbox",en,3,6,5,,,,,,
3852,retirement community,speed bumps,in the cul-de-sac,,,,,,,"retirement community
speed bumps
in the cul-de-sac",en,8,2,3,,,,,,
3853,woodland graffiti,a fallen branch carved,by bark beetles,,,,,,,"woodland graffiti
a fallen branch carved
by bark beetles",en,5,5,4,,,,,,
3854,all souls day,the scent of smoke lingers,in my hair,,,,,,,"all souls day
the scent of smoke lingers
in my hair",en,3,6,3,,,,,,
3855,Fourth of July,watching fireflies,on the lawn,,,,,,,"Fourth of July
watching fireflies
on the lawn",en,4,5,3,,,,,,
3856,rain on the leaves,just one,firefly,,,,,,,"rain on the leaves
just one
firefly",en,4,2,3,,,,,,
3857,Another day without him,she misses all the little things,"still, the sun shines",,,,,,,"Another day without him
she misses all the little things
still, the sun shines",en,7,8,4,,,,,,
3858,3 am,a scycle moon ,thoughts of him,crowd my brain,and takes my sleep,,,,,"3 am
a scycle moon 
thoughts of him
crowd my brain
and takes my sleep",en,"2,3",4,3,3,4,,,,
3859,first cicada -,the hot day seems,even hotter,,,,,,,"first cicada -
the hot day seems
even hotter",en,4,4,4,,,,,,
3861,cool night air,city noises fade away,memories,,,,,,,"cool night air
city noises fade away
memories",en,3,7,3,,,,,,
3862,cool night air,folding chair,meditations,,,,,,,"cool night air
folding chair
meditations",en,3,3,4,,,,,,
3863,market day,hot tired shoppers,wait for the free bus,,,,,,,"market day
hot tired shoppers
wait for the free bus",en,3,5,5,,,,,,
3864,call to prayer,roosters too,fresh morning air,,,,,,,"call to prayer
roosters too
fresh morning air",en,"3,4",3,4,,,,,,
3865,dog barks,somebody starts their car,summer's morning light,,,,,,,"dog barks
somebody starts their car
summer's morning light",en,2,6,5,,,,,,
3866,chasing bubbles,near the floating moon,a paper boat,,,,,,,"chasing bubbles
near the floating moon
a paper boat",en,4,5,4,,,,,,
3867,Rainbows reflected,in so many potholes,afternoon rainstorm,,,,,,,"Rainbows reflected
in so many potholes
afternoon rainstorm",en,5,6,5,,,,,,
3868,samhain night,another wreath,goes up in smoke,,,,,,,"samhain night
another wreath
goes up in smoke",en,3,4,4,,,,,,
3869,moving day,a wet maple leaf sticks,to the mattress,,,,,,,"moving day
a wet maple leaf sticks
to the mattress",en,3,6,4,,,,,,
3870,drought's end,she scribbles haiku on the back,of her grocery list,,,,,,,"drought's end
she scribbles haiku on the back
of her grocery list",en,2,8,"5,6",,,,,,
3871,chocolate santas --,do you bite the head off,or nibble the toes?,,,,,,,"chocolate santas --
do you bite the head off
or nibble the toes?",en,4,6,5,,,,,,
3872,california dreaming,a white christmas,inside the snow globe,,,,,,,"california dreaming
a white christmas
inside the snow globe",en,6,4,5,,,,,,
3873,church bells,she leaves her good intentions,in her hymnal,,,,,,,"church bells
she leaves her good intentions
in her hymnal",en,2,7,4,,,,,,
3874,grandpa in his coffin,she sings a lullaby,before they close the lid,,,,,,,"grandpa in his coffin
she sings a lullaby
before they close the lid",en,6,6,6,,,,,,
3875,evening fog---,the steam room,is empty,,,,,,,"evening fog---
the steam room
is empty",en,3,3,3,,,,,,
3876,the debt ceiling will rise---,clouds break ,for the sunset,,,,,,,"the debt ceiling will rise---
clouds break 
for the sunset",en,6,2,4,,,,,,
3877,evening fog---,the sound of,a sax player,,,,,,,"evening fog---
the sound of
a sax player",en,3,3,4,,,,,,
3878,Summer blue sky---,a teakettle ,whistles,,,,,,,"Summer blue sky---
a teakettle 
whistles",en,4,4,2,,,,,,
3879,night rain -,baking smells from the house,with the jasmine,,,,,,,"night rain -
baking smells from the house
with the jasmine",en,2,6,4,,,,,,
3880,brown earth,a hawk's reflection glides,across the puddle,,,,,,,"brown earth
a hawk's reflection glides
across the puddle",en,2,6,5,,,,,,
3881,neglected garden,the sweet peas,stage a riot,,,,,,,"neglected garden
the sweet peas
stage a riot",en,5,3,4,,,,,,
3891,night after night,the farm dog forgets,he knows me of old,,,,,,,"night after night
the farm dog forgets
he knows me of old",en,4,5,5,,,,,,
3892,prayers,for a dying friend ~,azaleas in bloom,,,,,,,"prayers
for a dying friend ~
azaleas in bloom",en,"1,2",5,5,,,,,,
3893,tax morning,my undrunk tea cold,in the cup,,,,,,,"tax morning
my undrunk tea cold
in the cup",en,3,5,3,,,,,,
3894,Soft rain,her thoughts of lost love,intrude into her day,,,,,,,"Soft rain
her thoughts of lost love
intrude into her day",en,2,5,6,,,,,,
3895,He looks at her,underlying chill in the air,smell of rain,,,,,,,"He looks at her
underlying chill in the air
smell of rain",en,4,8,3,,,,,,
3896,the moon's emerged,now water drips only,under the trees,,,,,,,"the moon's emerged
now water drips only
under the trees",en,4,6,4,,,,,,
3897,last light,listening for the silence,behind the rain,,,,,,,"last light
listening for the silence
behind the rain",en,2,"6,7",4,,,,,,
3898,first day of school--,the house fills with the space ,between second hand ticks,,,,,,,"first day of school--
the house fills with the space 
between second hand ticks",en,4,6,6,,,,,,
3899,voices of autumn -,the patter of raindrops,on my rooftiles,,,,,,,"voices of autumn -
the patter of raindrops
on my rooftiles",en,5,6,4,,,,,,
3900,Tropical storm warning,Wet sand in our kisses,The opening sky,,,,,,,"Tropical storm warning
Wet sand in our kisses
The opening sky",en,6,"6,7",5,,,,,,
3901,mid morning coffee,sipped from a chipped old mug,so comforting,,,,,,,"mid morning coffee
sipped from a chipped old mug
so comforting",en,5,6,4,,,,,,
3904,road trip,at the end of the argument,a patch of blue,,,,,,,"road trip
at the end of the argument
a patch of blue",en,2,8,4,,,,,,
3906,perseid showers,only rain in,the night garden,,,,,,,"perseid showers
only rain in
the night garden",en,4,4,4,,,,,,
3907,summer longing,a dampness in the washing,left out overnight,,,,,,,"summer longing
a dampness in the washing
left out overnight",en,4,7,5,,,,,,
3908,lofty thoughts,the crowns of the redwoods,lost in the clouds,,,,,,,"lofty thoughts
the crowns of the redwoods
lost in the clouds",en,3,6,4,,,,,,
3909,dry haystack,the muffled sound,of rain,,,,,,,"dry haystack
the muffled sound
of rain",en,3,4,2,,,,,,
3910,morning tai chi,my form wavers,with the barking dogs,,,,,,,"morning tai chi
my form wavers
with the barking dogs",en,4,4,5,,,,,,
3911,leftover meatloaf,we have an argument,about his ex-wife,,,,,,,"leftover meatloaf
we have an argument
about his ex-wife",en,5,6,4,,,,,,
3912,midsummer stars,the cry of a loon shatters,the darkness,,,,,,,"midsummer stars
the cry of a loon shatters
the darkness",en,4,7,3,,,,,,
3913,railroad tracks,summer shadows fade,into twilight,,,,,,,"railroad tracks
summer shadows fade
into twilight",en,3,5,4,,,,,,
3914,summer evening,crescents of cantaloupe,on a blue plate,,,,,,,"summer evening
crescents of cantaloupe
on a blue plate",en,4,6,4,,,,,,
3915,fresh tea,the warmth of his lips,on mine,,,,,,,"fresh tea
the warmth of his lips
on mine",en,2,5,2,,,,,,
3916,high summer,a cloud of flies,over the road kill,,,,,,,"high summer
a cloud of flies
over the road kill",en,3,4,5,,,,,,
3917,Hurricane Irene,in the semi-darkness,a cold breakfast,,,,,,,"Hurricane Irene
in the semi-darkness
a cold breakfast",en,5,4,4,,,,,,
3918,heavy time,slowly ticking the minutes,Hurricane Irene,,,,,,,"heavy time
slowly ticking the minutes
Hurricane Irene",en,3,7,5,,,,,,
3919,lingering grief-,calls of southbound geese,through misty rain,,,,,,,"lingering grief-
calls of southbound geese
through misty rain",en,"3,4",5,4,,,,,,
3920,lingering light,through the willows,scent of rain,,,,,,,"lingering light
through the willows
scent of rain",en,"3,4",4,3,,,,,,
3921,summer love,a faded red t-shirt rots,in the gutter,,,,,,,"summer love
a faded red t-shirt rots
in the gutter",en,3,6,4,,,,,,
3922,september grasses,the rumble of a distant,trash cart,,,,,,,"september grasses
the rumble of a distant
trash cart",en,5,7,2,,,,,,
3923,first frost warning -,she no longer,pours his coffee,,,,,,,"first frost warning -
she no longer
pours his coffee",en,4,4,4,,,,,,
3924,lull--,reading into the braille ,of your goose bumps,,,,,,,"lull--
reading into the braille 
of your goose bumps",en,1,6,4,,,,,,
3925,afternoon malaise--,slant light ,at the oranges bowl,,,,,,,"afternoon malaise--
slant light 
at the oranges bowl",en,5,2,6,,,,,,
3926,Indian summer,turkey feather falling,just out of reach,,,,,,,"Indian summer
turkey feather falling
just out of reach",en,5,6,4,,,,,,
3927,Ordinary morning,"bluest of skies, crisp, clear air",until the shadows,,,,,,,"Ordinary morning
bluest of skies, crisp, clear air
until the shadows",en,6,7,5,,,,,,
3928,airborne again -,the roadkill's,feathers,,,,,,,"airborne again -
the roadkill's
feathers",en,4,3,2,,,,,,
3929,an aroma,of green walnuts,summer dusk,,,,,,,"an aroma
of green walnuts
summer dusk",en,4,4,3,,,,,,
3930,after the hurricane---,the skyline lights,burn bright,,,,,,,"after the hurricane---
the skyline lights
burn bright",en,6,4,2,,,,,,
3931,sunset---,the clean up,after a hurricane,,,,,,,"sunset---
the clean up
after a hurricane",en,2,3,6,,,,,,
3932,pigeons are flying again---,Irene downgraded,to tropical storm,,,,,,,"pigeons are flying again---
Irene downgraded
to tropical storm",en,7,5,5,,,,,,
3933,a hurricane---,the flies think,my kitchen is a storm shelter,,,,,,,"a hurricane---
the flies think
my kitchen is a storm shelter",en,4,3,8,,,,,,
3934,August Friday happy hour---,the bartenders have time,to listen,,,,,,,"August Friday happy hour---
the bartenders have time
to listen",en,"8,7",6,3,,,,,,
3935,full moon,he smoothens a wrinkle,on her hand,,,,,,,"full moon
he smoothens a wrinkle
on her hand",en,2,6,3,,,,,,
3936,somehow,our shrinking shadows touch,harvest moon,,,,,,,"somehow
our shrinking shadows touch
harvest moon",en,2,"6,7",3,,,,,,
3937,Indian summer,the baby in the back seat,mine for a week,,,,,,,"Indian summer
the baby in the back seat
mine for a week",en,5,7,4,,,,,,
3938,waning moon,my parents visit,comes to an end,,,,,,,"waning moon
my parents visit
comes to an end",en,3,5,4,,,,,,
3939,storm--,the monologue,of every tree,,,,,,,"storm--
the monologue
of every tree",en,1,4,"4,5",,,,,,
3940,candle snuffer--,our eyes adjust,to the smoke wisp,,,,,,,"candle snuffer--
our eyes adjust
to the smoke wisp",en,4,"4,5",4,,,,,,
3941,the patter and hiss ,of gentle raining,--cloudlight,,,,,,,"the patter and hiss 
of gentle raining
--cloudlight",en,5,5,0,,,,,,
3942,half-light,the cat turns and washes,one paw,,,,,,,"half-light
the cat turns and washes
one paw",en,1,6,2,,,,,,
3943,steady rain~~,she rants about her boss,all through supper,,,,,,,"steady rain~~
she rants about her boss
all through supper",en,3,6,4,,,,,,
3944,candlelit pumpkin,the moths reflection,in the cat's eyes,,,,,,,"candlelit pumpkin
the moths reflection
in the cat's eyes",en,5,5,4,,,,,,
3945,the crunch,of the first leaf,a sweet sigh,,,,,,,"the crunch
of the first leaf
a sweet sigh",en,2,4,3,,,,,,
3946,the sound,of the first fallen leaf,this Autumn day,,,,,,,"the sound
of the first fallen leaf
this Autumn day",en,2,6,4,,,,,,
3947,2 am,rain and wind on the island,another insomnia night,,,,,,,"2 am
rain and wind on the island
another insomnia night",en,"2,3",7,8,,,,,,
3948,deep silence,that crack in the wall,looks wider tonight,,,,,,,"deep silence
that crack in the wall
looks wider tonight",en,3,5,5,,,,,,
3949,the trail narrows-,every shadow,a possible bear,,,,,,,"the trail narrows-
every shadow
a possible bear",en,4,"4,5",5,,,,,,
3953,autumn deepens,we gather the few,remaining seeds,,,,,,,"autumn deepens
we gather the few
remaining seeds",en,4,5,4,,,,,,
3954,armistice day,a rainbow of wool drying,on the clothesline,,,,,,,"armistice day
a rainbow of wool drying
on the clothesline",en,4,7,4,,,,,,
3955,a parked car has,its windows steamed---,a rainy beach day,,,,,,,"a parked car has
its windows steamed---
a rainy beach day",en,4,4,5,,,,,,
3956,next to the sunflowers---,pumpkins are,on sale,,,,,,,"next to the sunflowers---
pumpkins are
on sale",en,6,3,2,,,,,,
3957,autumn deepens -,I wonder what my neighbour,is writing today ?!,,,,,,,"autumn deepens -
I wonder what my neighbour
is writing today ?!",en,4,7,5,,,,,,
3962,clouds lifting,above the archipelago,morning light,,,,,,,"clouds lifting
above the archipelago
morning light",en,3,8,3,,,,,,
3963,the owl's whoo,unanswered,this autumn night,,,,,,,"the owl's whoo
unanswered
this autumn night",en,3,3,4,,,,,,
3964,autumn morning,spreading marmalade,over burnt toast,,,,,,,"autumn morning
spreading marmalade
over burnt toast",en,4,5,4,,,,,,
3965,autumn sun,slides through the blinds,withered sunflowers,,,,,,,"autumn sun
slides through the blinds
withered sunflowers",en,3,4,5,,,,,,
3966,autumn sun,hidden in the flower bed,mushrooms,,,,,,,"autumn sun
hidden in the flower bed
mushrooms",en,3,7,2,,,,,,
3967,A rippled moon :,"In the pond, ",A sinking stone.,,,,,,,"A rippled moon :
In the pond, 
A sinking stone.",en,4,3,4,,,,,,
3968,heavy leaves,in the evening rain,heaps of darkness,,,,,,,"heavy leaves
in the evening rain
heaps of darkness",en,3,5,4,,,,,,
3969,haze over the hills,the rain has filled,this morning's footprints,,,,,,,"haze over the hills
the rain has filled
this morning's footprints",en,5,4,5,,,,,,
3970,night silence,a facebook cry,of loneliness,,,,,,,"night silence
a facebook cry
of loneliness",en,3,4,4,,,,,,
3971,drumming rain,a patchwork of dreams,just before waking,,,,,,,"drumming rain
a patchwork of dreams
just before waking",en,3,5,5,,,,,,
3972,the moose grunts.again.,the nylon tent walls,seem thinner,,,,,,,"the moose grunts.again.
the nylon tent walls
seem thinner",en,3,5,3,,,,,,
3973,soft jazz,candle light and lip gloss,in the corner,,,,,,,"soft jazz
candle light and lip gloss
in the corner",en,2,6,4,,,,,,
3975,first juice,a lone wasp explores,the apple press,,,,,,,"first juice
a lone wasp explores
the apple press",en,2,5,4,,,,,,
3977,a fallen leaf,brushes the corner,of your grave stone,,,,,,,"a fallen leaf
brushes the corner
of your grave stone",en,4,5,4,,,,,,
3978,autumn chill,the fallen leaf's veins,tinged a deeper hue,,,,,,,"autumn chill
the fallen leaf's veins
tinged a deeper hue",en,3,5,5,,,,,,
3979,tart raspberries,evening comes earlier,and earlier,,,,,,,"tart raspberries
evening comes earlier
and earlier",en,4,6,4,,,,,,
3980,rain clouds,basking in the light,of an Ikea lamp,,,,,,,"rain clouds
basking in the light
of an Ikea lamp",en,2,5,6,,,,,,
3981,crisp wind,the taste of the apple,just after picking it,,,,,,,"crisp wind
the taste of the apple
just after picking it",en,2,6,6,,,,,,
3982,in from the cold,just one sugar cube more,in my coffee,,,,,,,"in from the cold
just one sugar cube more
in my coffee",en,4,6,4,,,,,,
3983,drawn in by the smell,of fast food and vinegar,this october sun,,,,,,,"drawn in by the smell
of fast food and vinegar
this october sun",en,5,7,5,,,,,,
3998,old laptop---,I back up my data,to the cloud,,,,,,,"old laptop---
I back up my data
to the cloud",en,3,6,3,,,,,,
3999,afternoon fog---,the day's news,in HD,,,,,,,"afternoon fog---
the day's news
in HD",en,4,3,2,,,,,,
4000,the name,I didn't want to see -,bitter coffee,,,,,,,"the name
I didn't want to see -
bitter coffee",en,2,"5,6",4,,,,,,
4001,rubber boots,looking for the next,deeper puddle,,,,,,,"rubber boots
looking for the next
deeper puddle",en,3,5,4,,,,,,
4002,school bus,finally round the bend,lighting a cigarette,,,,,,,"school bus
finally round the bend
lighting a cigarette",en,2,6,6,,,,,,
4003,through autumn's dusk,the computer wanes and hums,one hundred crows,,,,,,,"through autumn's dusk
the computer wanes and hums
one hundred crows",en,4,7,4,,,,,,
4005,moon-paved road,I take the lane,without the dogs,,,,,,,"moon-paved road
I take the lane
without the dogs",en,2,4,4,,,,,,
4006,month-old obit,of an ex-girl friend,unexpected rain,,,,,,,"month-old obit
of an ex-girl friend
unexpected rain",en,3,4,5,,,,,,
4007,back and forth,across our conversation,fireflies,,,,,,,"back and forth
across our conversation
fireflies",en,3,"8,7",3,,,,,,
4008,death watch ended,the rain storm,begins,,,,,,,"death watch ended
the rain storm
begins",en,4,3,2,,,,,,
4009,my wife,home from the hospital,hibiscus in full bloom,,,,,,,"my wife
home from the hospital
hibiscus in full bloom",en,2,6,6,,,,,,
4010,at opposite ends,of the reading room,ex-lovers,,,,,,,"at opposite ends
of the reading room
ex-lovers",en,"4,5",5,1,,,,,,
4011,despite my assurances,my wife's makeup,thicker,,,,,,,"despite my assurances
my wife's makeup
thicker",en,7,4,2,,,,,,
4012,half-way home,a pint of stout,to keep out the cold,,,,,,,"half-way home
a pint of stout
to keep out the cold",en,2,4,5,,,,,,
4013,dried leaves,hurry down the path,standard time,,,,,,,"dried leaves
hurry down the path
standard time",en,2,5,3,,,,,,
4014,sleeping late,this autumn morning,the bed half empty,,,,,,,"sleeping late
this autumn morning
the bed half empty",en,3,5,5,,,,,,
4015,breakfast still rumbles,but no other guns are heard,Armistice morning.,,,,,,,"breakfast still rumbles
but no other guns are heard
Armistice morning.",en,5,7,5,,,,,,
4016,he winds up his watch,so carefully that morning ,that will end the war,,,,,,,"he winds up his watch
so carefully that morning 
that will end the war",en,5,7,5,,,,,,
4017,"The bugler plays ""Tap""",her face so serious,"her parents, so proud",,,,,,,"The bugler plays ""Tap""
her face so serious
her parents, so proud",en,6,6,5,,,,,,
4018,sensuous lips,the young man tells me,about his fresh fruit,,,,,,,"sensuous lips
the young man tells me
about his fresh fruit",en,4,5,5,,,,,,
4019,sudden chill --,my aunt corrects,the children's manners,,,,,,,"sudden chill --
my aunt corrects
the children's manners",en,3,4,5,,,,,,
4020,winter's end,another bite,of green curry,,,,,,,"winter's end
another bite
of green curry",en,3,4,4,,,,,,
4021,spring gale,raindrops on the raw wood,of the new fence,,,,,,,"spring gale
raindrops on the raw wood
of the new fence",en,"2,3",6,4,,,,,,
4023,bulbul blues,a yellow flower floats,in my tea cup,,,,,,,"bulbul blues
a yellow flower floats
in my tea cup",en,3,6,4,,,,,,
4024,lakeside,the long silence,before the loon's reply,,,,,,,"lakeside
the long silence
before the loon's reply",en,2,4,6,,,,,,
4025,getting the phone - ,the soft tapping,of the rocking chair,,,,,,,"getting the phone - 
the soft tapping
of the rocking chair",en,4,4,5,,,,,,
4026,rabbit in the moon,each dog has the last bark,till the next,,,,,,,"rabbit in the moon
each dog has the last bark
till the next",en,5,6,3,,,,,,
4027,cold night,a cricket's,insistent mantra,,,,,,,"cold night
a cricket's
insistent mantra",en,2,3,5,,,,,,
4028,cloudy,the metal-edged whistle,of a dove's flight,,,,,,,"cloudy
the metal-edged whistle
of a dove's flight",en,2,5,4,,,,,,
4029,street garden,again without leaves,faded graffiti,,,,,,,"street garden
again without leaves
faded graffiti",en,3,5,5,,,,,,
4030,the familiar wail,of a common loon-,your empty chair,,,,,,,"the familiar wail
of a common loon-
your empty chair",en,5,5,4,,,,,,
4031,Thanksgiving evening,the call of wild ducks,out on the bay,,,,,,,"Thanksgiving evening
the call of wild ducks
out on the bay",en,5,5,4,,,,,,
4032,lakeside,the fog makes the loon's call,much more haunting,,,,,,,"lakeside
the fog makes the loon's call
much more haunting",en,2,6,4,,,,,,
4033,river road,he stops to buy,a can of worms,,,,,,,"river road
he stops to buy
a can of worms",en,3,4,4,,,,,,
4034,"Right, left",The flash of the float plane's light,Rain on the forest,,,,,,,"Right, left
The flash of the float plane's light
Rain on the forest",en,2,7,5,,,,,,
4035,autumn morning,dew-drops dripping,from a cane pole,,,,,,,"autumn morning
dew-drops dripping
from a cane pole",en,4,3,4,,,,,,
4036,winter trees,waiting on the silence,our breaths,,,,,,,"winter trees
waiting on the silence
our breaths",en,3,6,"2,3",,,,,,
4038,new book --,the hands of the clock move,faster,,,,,,,"new book --
the hands of the clock move
faster",en,2,6,2,,,,,,
4039,march warmth,the taste of curry,on his lips,,,,,,,"march warmth
the taste of curry
on his lips",en,2,5,3,,,,,,
4040,false spring,the minty freshness,of his kiss,,,,,,,"false spring
the minty freshness
of his kiss",en,"2,3",5,3,,,,,,
4041,popping gum,the vacant look,in her eyes,,,,,,,"popping gum
the vacant look
in her eyes",en,3,4,3,,,,,,
4042,wind and rain --,wisteria blooms entwine,the barbed wire fence,,,,,,,"wind and rain --
wisteria blooms entwine
the barbed wire fence",en,3,7,"4,5",,,,,,
4044,clear lake enclosed,entirely within ,a bowl of miso,,,,,,,"clear lake enclosed
entirely within 
a bowl of miso",en,4,6,5,,,,,,
