haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"the birch trunk's sheen
moves when i do
winter solitude
",the birch trunk's sheen,moves when i do,winter solitude,en,4,4,5
"burial
mourners and bare trees
blend
",burial,mourners and bare trees,blend,en,3,5,1
"her empty bed
night rain
on fallen leaves
",her empty bed,night rain,on fallen leaves,en,4,2,4
"wind-bent grasses
we bow to each other
goose and i
",wind-bent grasses,we bow to each other,goose and i,en,3,6,3
"chill evening
all the nuts
are almonds
",chill evening,all the nuts,are almonds,en,3,3,3
"taking a bite
from the wild apple
old, old memories
",taking a bite,from the wild apple,"old, old memories",en,4,5,5
"new year's eve
rain becomes hail
becomes silence
",new year's eve,rain becomes hail,becomes silence,en,3,4,4
"new year's day
we both feel the kick
inside her
",new year's day,we both feel the kick,inside her,en,3,5,3
"autumn downpour
a tow truck pulling
another
",autumn downpour,a tow truck pulling,another,en,4,5,3
"grandpa's dead . . .?
the call of wild geese
faintly heard
",grandpa's dead . . .?,the call of wild geese,faintly heard,en,3,5,3
"unpacking a new home
do whales strand themselves
in this bay?
",unpacking a new home,do whales strand themselves,in this bay?,en,6,5,3
"winter stillness
the bed starts
purring
",winter stillness,the bed starts,purring,en,4,3,2
"winter morning
the outline of the city
on venetian blinds
",winter morning,the outline of the city,on venetian blinds,en,4,7,5
"sun on my back
all the flower pots
arranged just so
",sun on my back,all the flower pots,arranged just so,en,4,5,4
"there they are
in the bonsai exhibit
pot of weeds
",there they are,in the bonsai exhibit,pot of weeds,en,3,7,3
"autumn sunrise
a muskrat grooms the dew
into its coat
",autumn sunrise,a muskrat grooms the dew,into its coat,en,4,6,4
"trail of leaves
the child's plastic rake
missing teeth
",trail of leaves,the child's plastic rake,missing teeth,en,3,5,3
"indian summer
small boys run naked
on the tide line
",indian summer,small boys run naked,on the tide line,en,5,5,4
"petting farm
first the children
chase the geese
",petting farm,first the children,chase the geese,en,3,4,3
"her birthday
i count the rosebuds
left on the bush
",her birthday,i count the rosebuds,left on the bush,en,3,5,4
"red maple leaves
scattered on moss
the sound of falling water
",red maple leaves,scattered on moss,the sound of falling water,en,4,4,7
"breezy afternoon
children chasing children
chasing leaves
",breezy afternoon,children chasing children,chasing leaves,en,5,6,3
"wind in the reeds
my daughter speaks
about forgiveness
",wind in the reeds,my daughter speaks,about forgiveness,en,4,4,5
"late summer
blue jays not answering
a crow
",late summer,blue jays not answering,a crow,en,3,6,2
"hay baler
in its wake, a swathe
of cricket song
",hay baler,"in its wake, a swathe",of cricket song,en,3,5,4
"crickets droning
the tennis ball covered
with slobber
",crickets droning,the tennis ball covered,with slobber,en,4,6,3
"distant stadium cheers:
a black branch releases
a drop of dew
",distant stadium cheers:,a black branch releases,a drop of dew,en,6,6,4
"morning sun
field too small
for the horse's shadow
",morning sun,field too small,for the horse's shadow,en,3,3,6
"dusk
father and son
scything the meadow
",dusk,father and son,scything the meadow,en,1,4,5
"cool dusk
our hands busy husking
fresh corn
",cool dusk,our hands busy husking,fresh corn,en,2,"6,7",2
"warm night
a soda machine rejects
my coin
",warm night,a soda machine rejects,my coin,en,2,7,2
"bedtime
fruit flies linger
after the fruit
",bedtime,fruit flies linger,after the fruit,en,2,4,4
"end of summer
only a breeze
in the butterfly net
",end of summer,only a breeze,in the butterfly net,en,4,4,6
"3rd day of guests
the soup pot
blows its lid
",3rd day of guests,the soup pot,blows its lid,en,4,3,3
"sand dollar
the morning's first set
of footprints
",sand dollar,the morning's first set,of footprints,en,3,5,3
"camera shoot
seafroth clings
to her cleavage
",camera shoot,seafroth clings,to her cleavage,en,"3,4",3,4
"boarding the greyhound
one seat left
on the ocean side
",boarding the greyhound,one seat left,on the ocean side,en,5,3,5
"sudden downpour
the lizard takes its shadow
into a wall hole
",sudden downpour,the lizard takes its shadow,into a wall hole,en,4,7,5
"thunderstorm
white pigeons stroll
the man-of-war's deck
",thunderstorm,white pigeons stroll,the man-of-war's deck,en,3,4,3
"beach shack
a garden
of shells
",beach shack,a garden,of shells,en,2,3,2
"windswept dunes
the road map flaps
on the scorching hood
",windswept dunes,the road map flaps,on the scorching hood,en,3,4,5
"rearview mirror
dark clouds gathering
into a twister
",rearview mirror,dark clouds gathering,into a twister,en,4,5,5
"stalactites
the howls of children
echoing back
",stalactites,the howls of children,echoing back,en,3,5,4
"alone now
the drake's wash
at both banks
",alone now,the drake's wash,at both banks,en,3,3,3
"tall pines
i?ll never be ready
to go home
",tall pines,i?ll never be ready,to go home,en,2,6,3
"sweet peas
pulling the color
from the sky
",sweet peas,pulling the color,from the sky,en,2,5,3
"crowds
at the meat market
incense mingles
",crowds,at the meat market,incense mingles,en,1,5,4
"intermission
sharing an awning
with the rain
",intermission,sharing an awning,with the rain,en,4,5,3
"bush trail
the astonishing colour
of jellybeans
",bush trail,the astonishing colour,of jellybeans,en,2,7,4
"drifting seed fluff . . .
the rented horse
knows an hour's worth
",drifting seed fluff . . .,the rented horse,knows an hour's worth,en,4,4,5
"venetian vase
the glass blower pauses
to admire a cloud
",venetian vase,the glass blower pauses,to admire a cloud,en,4,6,5
"chinese opera
her voice inside
my teacup
",chinese opera,her voice inside,my teacup,en,4,4,3
"deep thunder
a blue tail skink
slips under the door
",deep thunder,a blue tail skink,slips under the door,en,3,4,5
"clear whistle
of the white-throated sparrow
evening star
",clear whistle,of the white-throated sparrow,evening star,en,3,5,3
"half moon
something slips into the pond
besides me
",half moon,something slips into the pond,besides me,en,2,7,3
"river rock
the folded wings
of a damselfly
",river rock,the folded wings,of a damselfly,en,3,4,5
"stone causeway
the creek's summer flow
rearranging pebbles
",stone causeway,the creek's summer flow,rearranging pebbles,en,3,5,6
"silent woods . . .
a growing awareness of
the need to breathe
",silent woods . . .,a growing awareness of,the need to breathe,en,3,7,4
"mother and daughter
each in her own thoughts
fireflies
",mother and daughter,each in her own thoughts,fireflies,en,5,5,3
"waking
in the fetal position
. . . the river's hum
",waking,in the fetal position,. . . the river's hum,en,2,7,4
"waterfall view
soba noodles slipping
from my chopsticks
",waterfall view,soba noodles slipping,from my chopsticks,en,4,6,4
"noon heat
a swallow just ahead
of its shadow
",noon heat,a swallow just ahead,of its shadow,en,2,6,4
"wind upriver
undersides of cottonwood leaves
rippling silver
",wind upriver,undersides of cottonwood leaves,rippling silver,en,4,8,"4,5"
"shaker village:
the clarity
of birdsong
",shaker village:,the clarity,of birdsong,en,4,4,3
"drifting clouds . . .
the exam hall
bright sometimes
",drifting clouds . . .,the exam hall,bright sometimes,en,3,4,3
"small window
and a bird too fast
to name
",small window,and a bird too fast,to name,en,3,5,2
"rose thorns
the soft whirl
of a spinning wheel
",rose thorns,the soft whirl,of a spinning wheel,en,2,3,5
"hot night
riffs
and midriffs
",hot night,riffs,and midriffs,en,2,1,3
"first light
broken blue shells
under the maple
",first light,broken blue shells,under the maple,en,2,4,5
"spring bird song
a girl comes first
to the peep-hole
",spring bird song,a girl comes first,to the peep-hole,en,"3,4",4,3
"the tinkling
of recycled glass
spring drizzle
",the tinkling,of recycled glass,spring drizzle,en,"3,4",5,"3,4"
"fourth of july fireworks
girls with long pigtails
jump double-dutch
",fourth of july fireworks,girls with long pigtails,jump double-dutch,en,6,5,3
"record heat
a moth the color of heather
on the heather
",record heat,a moth the color of heather,on the heather,en,3,8,4
"glowing embers
i tell her a story
she already knows
",glowing embers,i tell her a story,she already knows,en,4,6,5
"new year's day
a finch's weight
turns the pinwheel
",new year's day,a finch's weight,turns the pinwheel,en,3,4,4
"nearly spring
the refrigerator magnet
losing its grip
",nearly spring,the refrigerator magnet,losing its grip,en,"3,4",8,4
"pausing
halfway through a life
with chrysanthemums
",pausing,halfway through a life,with chrysanthemums,en,2,5,5
"snow sparkles
in the arroyo
",snow sparkles,in the arroyo,,en,3,5,0
"the old wind chimes
in the basement for winter
tinkle from my sigh
",the old wind chimes,in the basement for winter,tinkle from my sigh,en,4,7,5
"tree-filtered moon
the night wind
in a leafpile
",tree-filtered moon,the night wind,in a leafpile,en,2,3,4
"gone then?
cherry petals fall away
in the rain
",gone then?,cherry petals fall away,in the rain,en,2,7,3
"her gentle passing . . .
a robin flock settles
on the front porch
",her gentle passing . . .,a robin flock settles,on the front porch,en,5,6,4
"this is how life is
hearing the cricket at dawn
just as it ceases
",this is how life is,hearing the cricket at dawn,just as it ceases,en,5,7,5
"if someone should ask
tell them she loved
ginger snaps and tea
",if someone should ask,tell them she loved,ginger snaps and tea,en,5,4,5
"a ripple
reaches the pond's edge
daffodils
",a ripple,reaches the pond's edge,daffodils,en,3,5,3
"warm hand held tightly
dream of a maple seedling
ready for planting
",warm hand held tightly,dream of a maple seedling,ready for planting,en,5,7,5
"her last breath . . .
the strings vibrating
on her dusty harp
",her last breath . . .,the strings vibrating,on her dusty harp,en,3,5,5
"news of her death
winter moon descending
beyond the trees
",news of her death,winter moon descending,beyond the trees,en,4,6,4
"she is gone . . .
the soft call
of a mourning dove
",she is gone . . .,the soft call,of a mourning dove,en,3,3,5
"raining
i discuss tomorrow
with falling petals
",raining,i discuss tomorrow,with falling petals,en,2,6,5
"no night clouds
just the numbing news
of her crossing over
",no night clouds,just the numbing news,of her crossing over,en,3,5,6
"quiet arroyo
the song borne somewhere else
by wind
",quiet arroyo,the song borne somewhere else,by wind,en,5,6,2
"moonless
the rain-muffled cries
of returning geese
",moonless,the rain-muffled cries,of returning geese,en,2,3,5
"i pause
halfway up the stair . . .
because she has paused
",i pause,halfway up the stair . . .,because she has paused,en,2,5,5
"before tonight's frost
bringing in a cricket's song
with the geraniums
",before tonight's frost,bringing in a cricket's song,with the geraniums,en,5,7,6
"a new day
how to translate
this talk of crows
",a new day,how to translate,this talk of crows,en,3,4,4
"field of wild iris
the pinto pony
kicks up his heels
",field of wild iris,the pinto pony,kicks up his heels,en,5,5,4
"shimmering beneath the glaze
blue brush strokes
on the chinese ginger jar
",shimmering beneath the glaze,blue brush strokes,on the chinese ginger jar,en,7,3,7
"the meadowlark
holding down the fencepost
with song
",the meadowlark,holding down the fencepost,with song,en,4,6,2
"too early awake
but this mockingbird
this moon
",too early awake,but this mockingbird,this moon,en,5,5,2
"glissandos
rippling from the strings
wind from the sea
",glissandos,rippling from the strings,wind from the sea,en,3,"5,6",4
"deep in this world
of monet water lilies . . .
no sound
",deep in this world,of monet water lilies . . .,no sound,en,4,7,2
"spring morning
the raven goes
where the wind went
",spring morning,the raven goes,where the wind went,en,"3,4",4,4
"pausing
halfway up the stair
white chrysanthemums
",pausing,halfway up the stair,white chrysanthemums,en,2,5,5
"the cold
a stranger
at my parents? grave
",the cold,a stranger,at my parents? grave,en,2,3,5
"freezing rain
the yellow umbrella
of a hotdog stand
",freezing rain,the yellow umbrella,of a hotdog stand,en,3,6,5
"a friend's house
shedding loneliness
with my coat
",a friend's house,shedding loneliness,with my coat,en,3,5,3
"alone
hugging
warm laundry
",alone,hugging,warm laundry,en,2,2,3
"winter afternoon
millions of points
at pinball
",winter afternoon,millions of points,at pinball,en,5,4,3
"new year's eve
she teaches me
how to breathe
",new year's eve,she teaches me,how to breathe,en,3,4,3
"cold morning rain:
all the swoosh is gone
from the fallen leaves
",cold morning rain:,all the swoosh is gone,from the fallen leaves,en,4,5,5
"bus stop
the winter dance
of cold feet
",bus stop,the winter dance,of cold feet,en,2,4,3
"what the raven
has to say about them
snow clouds
",what the raven,has to say about them,snow clouds,en,4,6,2
"frosty morning
an old man boxes
his shadow
",frosty morning,an old man boxes,his shadow,en,4,5,3
"tooth marks
in the sharp cheddar . . .
the long night
",tooth marks,in the sharp cheddar . . .,the long night,en,2,5,3
"new year's day
the sycamore's
uneven shadow
",new year's day,the sycamore's,uneven shadow,en,3,4,5
"winter dawn
waiting for the school bus
kids pretend to smoke
",winter dawn,waiting for the school bus,kids pretend to smoke,en,3,6,5
"first snow!
the congregation of birds
suddenly bolder
",first snow!,the congregation of birds,suddenly bolder,en,2,7,5
"taps . . .
a snowflake melts
on her dimple
",taps . . .,a snowflake melts,on her dimple,en,1,4,4
"late november . . .
i miss another visit
to the nursing home
",late november . . .,i miss another visit,to the nursing home,en,4,7,5
"slender moon
locking the door
for the last time
",slender moon,locking the door,for the last time,en,3,4,4
"pearl harbor day
the back yard fence steams
in the morning sun
",pearl harbor day,the back yard fence steams,in the morning sun,en,4,5,5
"every one
of her xmas cookies
the same snowflake
",every one,of her xmas cookies,the same snowflake,en,"3,4",5,4
"dirt road
ahead and behind
falling leaves
",dirt road,ahead and behind,falling leaves,en,2,5,3
"autumn elms
under her arm
a folded star
",autumn elms,under her arm,a folded star,en,3,4,4
"moonlight
reducing the city
to ruins
",moonlight,reducing the city,to ruins,en,2,6,3
"christmas eve
on the hairdresser's face
a hint of tears
",christmas eve,on the hairdresser's face,a hint of tears,en,3,6,4
"bowing
one last time
frozen grass
",bowing,one last time,frozen grass,en,2,3,3
"sickle moon
an exit ramp bends
through black ice
",sickle moon,an exit ramp bends,through black ice,en,3,5,3
"all saints? day
beams of a lighthouse
sweep through the rain
",all saints? day,beams of a lighthouse,sweep through the rain,en,3,5,4
"morning dew
i trace my son's
lifeline
",morning dew,i trace my son's,lifeline,en,3,4,2
"autumn melancholy
she snaps a picture
of the flame-red zinnia
",autumn melancholy,she snaps a picture,of the flame-red zinnia,en,6,5,6
"?tis great to be alive!
how to say this
to the scarecrow?
",?tis great to be alive!,how to say this,to the scarecrow?,en,5,4,4
"harvest moon
the long pull
of faraway children
",harvest moon,the long pull,of faraway children,en,3,3,6
"st. francis's feast
a fly crawls across
the communion wafers
",st. francis's feast,a fly crawls across,the communion wafers,en,5,5,6
"concession speech
the dog waits patiently
on the porch
",concession speech,the dog waits patiently,on the porch,en,4,6,3
"thanksgiving mass
a shaky hand offers me
the chalice
",thanksgiving mass,a shaky hand offers me,the chalice,en,4,7,3
"thanksgiving
the flower vendor
counts his roses
",thanksgiving,the flower vendor,counts his roses,en,3,5,4
"thanksgiving
the two of us
and a salmon
",thanksgiving,the two of us,and a salmon,en,3,"4,5",4
"scent of the river
in some of the laundry
indian summer
",scent of the river,in some of the laundry,indian summer,en,5,6,5
"autumn drizzle
a grove of maple trees
lights the way home
",autumn drizzle,a grove of maple trees,lights the way home,en,4,6,4
"morning glories
what is left
of the rain
",morning glories,what is left,of the rain,en,4,3,3
"again and again
to the tip of the rod
red dragonfly
",again and again,to the tip of the rod,red dragonfly,en,5,6,4
"black clouds part
a moon so full
i could howl
",black clouds part,a moon so full,i could howl,en,3,4,3
"women's refuge
new light finds the blue
in painted glass
",women's refuge,new light finds the blue,in painted glass,en,4,5,4
"fall migration
the park duck waddles
back to the pond
",fall migration,the park duck waddles,back to the pond,en,4,5,4
"stillness
after the storm
furled hibiscus
",stillness,after the storm,furled hibiscus,en,2,4,4
"autumn hike
slowly we descend the mountain
into evening
",autumn hike,slowly we descend the mountain,into evening,en,3,8,4
"graffiti
sharper
by moonlight
",graffiti,sharper,by moonlight,en,3,2,3
"shiny red apples
the painter introduces
a caterpillar
",shiny red apples,the painter introduces,a caterpillar,en,5,7,5
"summer ending
the wind and my songs
going their several ways
",summer ending,the wind and my songs,going their several ways,en,4,5,"6,7"
"temple procession
so many gods
under one moon
",temple procession,so many gods,under one moon,en,5,4,4
"sidewalk tilted
by the maple's roots
faint city stars
",sidewalk tilted,by the maple's roots,faint city stars,en,4,5,4
"cool morning
slide of a coat hanger
across the rail
",cool morning,slide of a coat hanger,across the rail,en,3,6,4
"noon sun
cane cutters
sing of tomorrow
",noon sun,cane cutters,sing of tomorrow,en,2,3,5
"if onlys,
what ifs
twilight
","if onlys,",what ifs,twilight,en,3,2,2
"autumn night
the moon at the window
of the space museum
",autumn night,the moon at the window,of the space museum,en,3,6,6
"hangover
a cat eats grass
along the driveway
",hangover,a cat eats grass,along the driveway,en,3,4,5
"morning sunshine . . .
from a broken-down house
a burst of laughter
",morning sunshine . . .,from a broken-down house,a burst of laughter,en,4,5,5
"wind in the pines
never have i dreamed
of sleeping alone
",wind in the pines,never have i dreamed,of sleeping alone,en,4,5,5
"out of hospital
the summer grasses
up to my chin
",out of hospital,the summer grasses,up to my chin,en,5,5,4
"rose garden
i?ve forgotten which one
is called peace
",rose garden,i?ve forgotten which one,is called peace,en,3,6,3
"summer night
a baby changed
on the hood of a chevy
",summer night,a baby changed,on the hood of a chevy,en,3,4,7
"no moon
on my knees i promise her
a glowworm
",no moon,on my knees i promise her,a glowworm,en,2,7,3
"sleeping alone
i begin to learn
the cricket's song
",sleeping alone,i begin to learn,the cricket's song,en,4,5,4
"their hands lightly touch
at the nursing home picnic
a raindrop or two
",their hands lightly touch,at the nursing home picnic,a raindrop or two,en,5,7,5
"another wish
puffballs ripe
for the wind
",another wish,puffballs ripe,for the wind,en,4,3,3
"laughter
in a foreign tongue
summer stars
",laughter,in a foreign tongue,summer stars,en,2,5,3
"shooting star
conversation halts
around the campfire
",shooting star,conversation halts,around the campfire,en,3,5,6
"evening star
fold upon fold
the quiet blue hills
",evening star,fold upon fold,the quiet blue hills,en,3,4,5
"day at the zoo
the elephant's shadow
in a small place
",day at the zoo,the elephant's shadow,in a small place,en,4,6,4
"sunshine on the canal
an old nun stops
to empty her shoes
",sunshine on the canal,an old nun stops,to empty her shoes,en,6,4,5
"outdoor caf?
the dog takes interest
in my interest
",outdoor caf?,the dog takes interest,in my interest,en,3,"5,6","4,5"
"cool dusk
the tide finds
the sandcastle
",cool dusk,the tide finds,the sandcastle,en,2,3,4
"early summer
the children's list
of what they?ll bring
",early summer,the children's list,of what they?ll bring,en,4,4,4
"dry season
rock paintings
by a vanished people
",dry season,rock paintings,by a vanished people,en,3,3,6
"august afternoon
behind the poetry books
a dry apple core
",august afternoon,behind the poetry books,a dry apple core,en,5,7,5
"new paperback
the sun sets
without me
",new paperback,the sun sets,without me,en,4,3,3
"bright stars
campfire coffee
full of grounds
",bright stars,campfire coffee,full of grounds,en,2,5,3
"two willows
each its own way
with the wind
",two willows,each its own way,with the wind,en,3,4,3
"brilliant sunlight
blue lobelia
through a clearwing's blur
",brilliant sunlight,blue lobelia,through a clearwing's blur,en,4,4,6
"distant thunder
a bumble bee hums
in the morning glory
",distant thunder,a bumble bee hums,in the morning glory,en,4,5,6
"tax day
a battery-powered breeze
stirs the desk chimes
",tax day,a battery-powered breeze,stirs the desk chimes,en,2,5,4
"the muddy river
a few egrets
mark its edge
",the muddy river,a few egrets,mark its edge,en,5,4,3
"spring breeze
i teach my granddaughter
hopscotch
",spring breeze,i teach my granddaughter,hopscotch,en,"2,3",6,2
"lilacs overgrown
with honeysuckle
the dooryard loses its way
",lilacs overgrown,with honeysuckle,the dooryard loses its way,en,5,5,7
"after the storm
the blue
blue lobelia
",after the storm,the blue,blue lobelia,en,4,2,4
"sealing dad's niche . . .
one flowered umbrella
among the black ones
",sealing dad's niche . . .,one flowered umbrella,among the black ones,en,4,6,5
"lightning
in a chestnut shell
the evening rain
",lightning,in a chestnut shell,the evening rain,en,2,5,4
"snow melting
the field overflows
with robins
",snow melting,the field overflows,with robins,en,3,5,3
"snowmelt
down the arroyo
her laughter
",snowmelt,down the arroyo,her laughter,en,2,5,3
"easter sunrise;
gun towers overshadow
the prison graveyard
",easter sunrise;,gun towers overshadow,the prison graveyard,en,4,7,5
"memorial day
a flag-waving lad seeking
his father's white cross
",memorial day,a flag-waving lad seeking,his father's white cross,en,5,5,5
"foggy dawn
light threads through
the mockingbird's call
",foggy dawn,light threads through,the mockingbird's call,en,3,3,5
"misty morning
for as far as i can hear
tree frogs
",misty morning,for as far as i can hear,tree frogs,en,4,7,2
"cold wind
our conversation fills
with plum blossom
",cold wind,our conversation fills,with plum blossom,en,2,"6,7",4
"weeping cherry
my husband is somewhere
in snow country
",weeping cherry,my husband is somewhere,in snow country,en,4,6,4
"end of daylight savings
the orange pills
cut in half
",end of daylight savings,the orange pills,cut in half,en,6,4,3
"spring grass
i tell the calf
i?m a vegetarian
",spring grass,i tell the calf,i?m a vegetarian,en,"2,3",4,7
"the final push
of a laboring bison
slow-rising sun
",the final push,of a laboring bison,slow-rising sun,en,4,7,2
"dusting of snow
all the lights on
in the daycare
",dusting of snow,all the lights on,in the daycare,en,4,4,4
"a leafless tree
suddenly my father
comes to mind
",a leafless tree,suddenly my father,comes to mind,en,4,6,3
"snowlit night
the bedroom window
whistles a tune
",snowlit night,the bedroom window,whistles a tune,en,3,5,4
"sleepless night
snow to rain
by the sound of it
",sleepless night,snow to rain,by the sound of it,en,3,3,5
"winter evening
the newborn calf
eyes everybody
",winter evening,the newborn calf,eyes everybody,en,4,4,5
"first snow
the smile
of a stranger
",first snow,the smile,of a stranger,en,2,2,4
"locust pods
in a raw wind
thinking it over
",locust pods,in a raw wind,thinking it over,en,3,4,5
"crash of winter waves
cries of the golden finch
shut in its cage
",crash of winter waves,cries of the golden finch,shut in its cage,en,5,6,4
"waiting for the heron
to turn my way
winter rain
",waiting for the heron,to turn my way,winter rain,en,6,4,3
"so suddenly winter
baby teeth at the bottom
of the button jar
",so suddenly winter,baby teeth at the bottom,of the button jar,en,6,7,5
"mountain moonrise
the sound i didn?t know
i had in me
",mountain moonrise,the sound i didn?t know,i had in me,en,4,5,4
"christmas far from home
the odor of hay and manure
from an open barn
",christmas far from home,the odor of hay and manure,from an open barn,en,5,8,5
"handshake
our sleeves touched
by the autumn wind
",handshake,our sleeves touched,by the autumn wind,en,2,"3,4",5
"drifting hawk
soccer players surge
down the field
",drifting hawk,soccer players surge,down the field,en,3,5,3
"my solitary life
a path worn around
the lotus pond
",my solitary life,a path worn around,the lotus pond,en,6,5,4
"night winds
rake the pond leaves
wobbly moon
",night winds,rake the pond leaves,wobbly moon,en,2,4,4
"so suddenly winter
the colors
in her pill box
",so suddenly winter,the colors,in her pill box,en,6,3,4
"a stiffness in the joints
shrunken tomatoes
piled in the turnrow
",a stiffness in the joints,shrunken tomatoes,piled in the turnrow,en,6,5,5
"rain so heavy
it calms the water
autumn evening
",rain so heavy,it calms the water,autumn evening,en,4,5,4
"cold drizzle . . .
one of the sparrows
sits apart
",cold drizzle . . .,one of the sparrows,sits apart,en,3,5,3
"frosted windows
my weight
still on the gym scale
",frosted windows,my weight,still on the gym scale,en,4,2,5
"pond ice
the fixed eyes
of the decoy
",pond ice,the fixed eyes,of the decoy,en,2,3,4
"deep in the forest
deep in the night
cuckoo
",deep in the forest,deep in the night,cuckoo,en,5,4,2
"vs of geese
i look where everyone else
is looking
",vs of geese,i look where everyone else,is looking,en,4,7,3
"halloween snow
the yeti's
tiny footprints
",halloween snow,the yeti's,tiny footprints,en,4,3,4
"indian summer
we ride around town
just to be riding
",indian summer,we ride around town,just to be riding,en,5,5,5
"that butterfly
i thought was a dead leaf
indian summer
",that butterfly,i thought was a dead leaf,indian summer,en,4,6,5
"my eye . . . my mind
led into the woods
by the red sumac
",my eye . . . my mind,led into the woods,by the red sumac,en,4,5,5
"half moon
the white cat vanishes
into shadow
",half moon,the white cat vanishes,into shadow,en,2,6,4
"pink cosmos
my divorced friend
learns to salsa
",pink cosmos,my divorced friend,learns to salsa,en,3,4,4
"full moon . . .
shadows ripple through
the field of catnip
",full moon . . .,shadows ripple through,the field of catnip,en,2,5,5
"a wild rose
inside the caterpillars? tent
ocean sunrise
",a wild rose,inside the caterpillars? tent,ocean sunrise,en,3,8,4
"giving sound
to the submerged stone wall
my new kayak
",giving sound,to the submerged stone wall,my new kayak,en,3,6,4
"faultline
wild eyes of the horses
as we cross
",faultline,wild eyes of the horses,as we cross,en,2,6,3
"talk of peace . . .
a fly in the sugar bowl
missing one leg
",talk of peace . . .,a fly in the sugar bowl,missing one leg,en,3,7,4
"whispers
on a sultry night
salsa music
",whispers,on a sultry night,salsa music,en,2,5,4
"day moon
wind sculpts ripples
on the dunes
",day moon,wind sculpts ripples,on the dunes,en,2,4,3
"thunder
the old windmill
needing grease
",thunder,the old windmill,needing grease,en,2,4,3
"sunday
the chorus of sparrows
in a church maple
",sunday,the chorus of sparrows,in a church maple,en,2,6,5
"fireworks display
missing
his oohs and ahhs
",fireworks display,missing,his oohs and ahhs,en,4,2,4
"low-country creek
the flow of spanish moss
from an osprey's talons
",low-country creek,the flow of spanish moss,from an osprey's talons,en,2,6,6
"snowstorm over
my grandson puts a seed
in my hand
",snowstorm over,my grandson puts a seed,in my hand,en,4,6,3
"morning walk
nothing for the stone fence
to stop
",morning walk,nothing for the stone fence,to stop,en,3,6,2
"without his wife
throwing old bread
to the sparrows
",without his wife,throwing old bread,to the sparrows,en,4,4,4
"passing clouds
the scent of wild thyme
on my fingers
",passing clouds,the scent of wild thyme,on my fingers,en,3,5,4
"red ribbon
on a sweat-lodge pole
fading sunset
",red ribbon,on a sweat-lodge pole,fading sunset,en,3,4,4
"fiddleheads
in the chill breeze
my fingers curl inwards
",fiddleheads,in the chill breeze,my fingers curl inwards,en,3,4,6
"scent of blossoms . . .
her house at the end
of the avenue
",scent of blossoms . . .,her house at the end,of the avenue,en,4,5,5
"tilted gravestone
the weight
of a butterfly
",tilted gravestone,the weight,of a butterfly,en,4,2,5
"cloud shadows
an eagle picks over
what the tide left
",cloud shadows,an eagle picks over,what the tide left,en,3,6,4
"twilight . . .
the brush of dune grass
across bare shins
",twilight . . .,the brush of dune grass,across bare shins,en,2,5,4
"first snow
a drift of cattle
against the fenceline
",first snow,a drift of cattle,against the fenceline,en,2,5,5
"the cat and i
walk together
all the fallen leaves
",the cat and i,walk together,all the fallen leaves,en,4,4,5
"woodstove's glow
the scent of oranges
studded with cloves
",woodstove's glow,the scent of oranges,studded with cloves,en,3,6,4
"waxwings
exchange rose hips
christmas morning
",waxwings,exchange rose hips,christmas morning,en,2,4,4
"a red flush
on the amaryllis bud
new year's eve
",a red flush,on the amaryllis bud,new year's eve,en,3,7,3
"falling leaves
a street person
adjusts her bundles
",falling leaves,a street person,adjusts her bundles,en,3,4,5
"echo of an axe
wood smoke holds
in the hollow
",echo of an axe,wood smoke holds,in the hollow,en,5,3,4
"letting out the dog
in the chill of dawn
the drifting stars
",letting out the dog,in the chill of dawn,the drifting stars,en,5,5,4
"along the railing
hollows in the snow
where sparrows sat
",along the railing,hollows in the snow,where sparrows sat,en,5,5,4
"early morning snow
the janitor shaves
at a barbershop sink
",early morning snow,the janitor shaves,at a barbershop sink,en,5,5,6
"a salmon leaps
grandpa starts to sing
with a brogue
",a salmon leaps,grandpa starts to sing,with a brogue,en,4,5,3
"first dance
the moon
in her hair
",first dance,the moon,in her hair,en,2,2,3
"winter rain . . .
pigeons under a bridge
folding in for the night
",winter rain . . .,pigeons under a bridge,folding in for the night,en,3,6,6
"the hambone
sticks out from the soup
last geese
",the hambone,sticks out from the soup,last geese,en,3,5,2
"year's end
the median strip vanishes
into a curve
",year's end,the median strip vanishes,into a curve,en,2,8,4
"wolves gnawing
at my dream . . .
singing bowls
",wolves gnawing,at my dream . . .,singing bowls,en,3,3,3
"new year's morning
the circles
of a toy train
",new year's morning,the circles,of a toy train,en,4,3,4
"winter doldrums
my own footprints lead me
into the woods
",winter doldrums,my own footprints lead me,into the woods,en,4,6,4
"december seventh . . .
from the ship's bell
icicles
",december seventh . . .,from the ship's bell,icicles,en,5,4,3
"year's end
well-worn pages
of the psalms
",year's end,well-worn pages,of the psalms,en,2,3,3
"awake at dawn
a snow mantle muffles
the cock's crow
",awake at dawn,a snow mantle muffles,the cock's crow,en,4,6,3
"sitting alone . . .
how slowly the
icicles melt
",sitting alone . . .,how slowly the,icicles melt,en,4,4,4
"one mallard
drifts on the satin lake
my mind smooths out
",one mallard,drifts on the satin lake,my mind smooths out,en,3,6,4
"thunder
the plover lower
on her eggs
",thunder,the plover lower,on her eggs,en,2,5,3
"a molting peacock
settled on the gatepost
dog days
",a molting peacock,settled on the gatepost,dog days,en,5,6,2
