1	W AH N
RIVERSTONE	R IH V ER S T OW N
ROCKINGHORSE	R AA K IH NG HH AO R S
ROLLIES	R OW L IY Z
ROOF'S	R UW F S
ROOK'S	R UH K S
ROOSTER'S	R UW S T ER Z
ROOTMASS	R UW T M AE S
ROSEHIPS	R OW Z HH IH P S
ROTHKO'S	R AA TH AH Z
ROTOTILLER'S	R OW T AH T IH L ER Z
ROUNDNESS	R AW N D N AH S
RUFFED	R AH F T
RUFOUS	R UW F AH S
RUGOSA	R UW G AH S AH
RUMPS	R AH M P S
SACAGAWEA'S	S AH K AE G AH IY Z
SACR	S AE K R
SADDLEBACK	S AE D AH L B AE K
SALT'S	S AO L TS
SANDCASTLE	S AE N D K AE S AH L
SANDCASTLES	S AE N D K AE S AH L Z
SANDCRAB	S AE N D K R AE B
SANDFLIES	S AE N D F L AY Z
SANDFLY	S AE N D F L AY
SANDPIPERS	S AE N D P AY P ER Z
SANTOKA	S AE N T AH K AH
SAPLING'S	S AE P L IH NG Z
SATURATES	S AE CH ER AH T S
SAVOUR	S AE V AH R
SAWHORSE	S AO HH AO R S
SCHOOLGIRL'S	S K UW L G ER L Z
SCIMITAR	S IH M AH T ER
SCOTERS	S K AA T ER Z
SCRATCHER	S K R AE CH ER
SCRUBWOODS	S K R AH B W UH D Z
SCRUM	S K R AH M
SCYTHING	S IH DH AH NG
SEABIRD	S IY B ER D
SEABIRDS	S IY B ER D Z
SEAFROTH	S IY F R AO TH
SEAWALL	S IY W AO L
SEDGES	S EH JH AH Z
SEEDTHE	S IY D
SEERSUCKER	S IH ER S AH K ER
SEMI'S	S EH M IY Z
SERGEANT'S	S AA R JH AH N TS
SEUSS'S	S UW S IX Z
SHACK'S	SH AE K S
SHADOW'S	SH AE D OW Z
SHAG'S	SH AE G Z
SHAKUHACHI	SH AH K AH HH AH CH IY
SHAMAN'S	SH EY M AH N Z
SHARPENER	SH AA R P AH N ER
SHED'S	SH EH D Z
SHEEPBELLS	SH IY P B EH L Z
SHINS	SH IH N Z
SHOAL	SH OW L
SHOESHINER'S	SH UW SH AY N ER Z
SHOOS	SH UW Z
SHOPAHOLICS	SH AA P AH HH OW L IH K S
SHOVEL'S	SH AH V AH L Z
SHOVELLING	SH AH V AH L IH NG
SHRIKE	SH R AY K
SHRIKE'S	SH R AY K AH Z
SHRIMPING	SH R IH M P IH NG
SHROVE	SH R OW V
SHUSH	SH AH SH
SHUSHES	SH AH SH AH Z
SIDEBOARD	S AY D B OW R D
SIDELONG	S AY D L AO NG
SIDESLIPS	S AY D S L IH P S
SILAGE	S AY L AH JH
SILO'S	S AY L OW Z
SILTED	S IH L T AH D
SILVERBERRY	S IH L V ER B EH R IY
SILVERED	S IH L V ER D
SILVERFISH	S IH L V ER F IH SH
SINEWS	S IH N Y UW Z
SINKFUL	S IH NG K F AH L
SINNER'S	S IH N ER Z
SISKINS	S IY Z K IH N Z
SKIFF'S	S K IH F S
SKIMS	S K IH M Z
SKINK	S K IH NG K
SKINNING	S K IH N IH NG
SKINNYDIPPING	S K IH N IY D IH P IH NG
SKITTERING	S K IH T ER IH NG
SKITTERS	S K IH T ER Z
SKUNK'S	S K AH NG K S
SKYFUL	S K AY F AH L
SLAUGHTERYARD	S L AO T ER Y AA R D
SLEETING	S L IY T IH NG
SLICKNESS	S L IH K N AH S
SLIDESHOW	S L AY D SH OW
SLIMED	S L AY M D
SLINK	S L IH NG K
SLIPSTREAM	S L IH P S T R IY M
SLOSHES	S L AA SH IH Z
SLUG'S	S L AH G Z
SMOKEHOUSE	S M OW K HH AW S
SMOOTHES	S M UW DH Z
SMOULDER	S M OW L D AH R
SNAG'S	S N AE G Z
SNAKESKIN	S N EY K S K IH N
SNAKESKIN'S	S N EY K S K IH N Z
SNAPPER'S	S N AE P ER Z
SNOWBANK'S	S N OW B AE NG K S
SNOWCAPS	S N OW K AE P S
SNOWDUST	S N OW D AH S T
SNOWFIELD	S N OW F IY L D
SNOWLIGHT	S N OW L AY T
SNOWLIT	S N OW L IH T
SNOWMAN'S	S N OW M AE N Z
SOAPSUDS	S OW P S AH D Z
SOBA	S OW B AH
SONGBIRD'S	S AO NG B ER D Z
SONGWRITER'S	S AO NG R AY T ER Z
SOUNDLESSLY	S AW N D L AH S L IY
SPADEFULS	S P EY D F AH L Z
SPARKLER	S P AA R K AH L ER
SPARROWHAWK	S P AE R OW HH AO K
SPARSH	S P AA R SH
SPEARMINT	S P IH ER M IH N T
SPHAGNUM	S F AE G N AH M
SPHINXED	S F IH NG K S T
SPIDERLINGS	S P AY D ER L IH NG Z
SPINDLES	S P IH N D AH L Z
SPINDLY	S P IH N D AH L IY
SPITTLEBUGS	S P IH T AH L B AH G Z
SPRIG	S P R IH G
SPRINKLER'S	S P R IH NG K L ER Z
SPRITZES	S P R IH T S AH Z
SQUELCHES	S K W EH L CH IH Z
SQUIRREL'S	S K W ER AH L Z
SQUIRRELWAYS	S K W ER AH L W EY Z
STALACTITES	S T AE L AH K T AY T S
STALAGMITES	S T AA L AA G M AY T S
STAMEN	S T EY M AH N
STAMENS	S T EY M AH N Z
STAMMERS	S T AE M ER Z
STARGAZING	S T AA R G EY Z IH NG
STARLINGS	S T AA R L IH NG Z
STARSHINE	S T AA R SH AY N
STEADIES	S T EH D IY Z
STEELTOWN	S T IY L T AW N
STEEPS	S T IY P S
STEPPINGSTONES	S T EH P IH NG S T OW N Z
STILLBORN'S	S T IH L B AO R N Z
STIPPLE	S T IH P AH L
STIPPLED	S T IH P AH L D
STORK'S	S T AO R K S
STORKS	S T AO R K S
STORMLIGHT	S T AO R M L AY T
STORYTELLER'S	S T AO R IY T EH L ER Z
STOVEPIPE	S T OW V P AY P
STRAGGLES	S T R AE G AH L Z
STRAWMAN	S T R AO M AE N
STRIDERS	S T R AY D ER Z
STUMP'S	S T AH M P S
SUCKLES	S AH K AH L Z
SUET	S UW AH T
SUGARBOWL	SH UH G ER B OW L
SUMI	S UW M IY
SUNBEAMS	S AH N B IY M Z
SUNBURST	S AH N B ER S T
SUNCATCHER	S AH N K AE CH ER
SUNCATCHERS	S AH N K AE CH ER Z
SUNDECK	S AH N D EH K
SUNDIAL'S	S AH N D AY L Z
SUNDOG	S AH N D AO G
SUNGLARE	S AH N G L EH R
SUNNIEST	S AH N IY AH S T
SUNRAYS	S AH N R EY Z
SUNROLLING	S AH N R OW L IH NG
SUNSTREAMS	S AH N S T R IY M Z
SUPERMOON	S UW P ER M UW N
SUPPERTIME	S AH P ER T AY M
SURFCASTER'S	S ER F K AE S T ER Z
SURFER'S	S ER F ER Z
SUSANS	S UW Z AH N Z
SUSURRATION	S UW S AH R EY SH AH N
SWAINSON'S	S W EY N S AH N Z
SWALLOWTAIL	S W AA L OW T EY L
SWATHS	S W AA TH S
SWEETBOX	S W IY T B AA K S
SWEETFISH	S W IY T F IH SH
SWEETPEAS	S W IY T P IY Z
SWERVES	S W ER V Z
SWISHING	S W IH SH IH NG
SWITCHBACK	S W IH CH B AE K
SWORD'S	S AO R D Z
SYCAMORE'S	S IH K AH M AO R Z
SYNCOPATES	S IH NG K AH P EY T S
TAILLESS	T EY L AH S
TAMARACK	T AE M AH R AH K
TAMARACK'S	T AE M AH R AH K S
TANAGER	T AE N IH JH ER
TANGY	T AE NG IY
TARANTULA'S	T AH R AE N CH UW L AH Z
TARWEED	T AA R W IY D
TASSELS	T AE S AH L Z
TATSUKO'S	T AE T S UW K AH Z
TATTED	T AE T IH D
TATTING	T AE T IH NG
TATTOO'D	T AE T UW D
TEACUPS	T IY K AH P S
TEARDROPS	T IH ER D R AA P S
TEASHOP	T IY SH AA P
TENDRILS	T EH N D R AH L Z
TEPEES	T IY P IY Z
TETHERBALLS	T EH DH ER B AO L Z
THE'STINGRAY	DH AH Z T IH N G R EY
THISTLEDOWN	TH IH S T L AH D OW N
THRONGING	TH R AO NG IH NG
THRUSH'S	TH R AH SH IX Z
THUDDING	TH AH D IH NG
THUMBPRINT	TH AH M P R IH N T
THUNDERCLAP	TH AH N D ER K L AE P
THUNDERCLOUD	TH AH N D ER K L AW D
TIDEPOOL	T AY D P UW L
TINFUL	T IH N F AH L
TINK	T IH NG K
TINKLES	T IH NG K AH L Z
TINSMITH	T IH N S M IH TH
TINYHISS	T AY N IY HH IH S
TIPTOES	T IH P T OW Z
TITMOUSE	T IH T M AW S
TNGRS	T IY EH N JH IY AA R S
TODDLER'S	T AA D L ER Z
TOLLUND	T AA L AH N D
TOMBO	T AA M B OW
TOMCAT'S	T AA M K AE TS
TOOLSHED	T UW L SH EH D
TOOTHACHE	T UW TH EY K
TOPMOST	T AA P M OW S T
TOURGUIDE	T UH R G AY D
TOWHEE'S	T OW HH IY Z
TOWPATH	T OW P AE TH
TOYSHOP	T OY SH AA P
TRACINGS	T R EY S IH NG Z
TRAIL'S	T R EY L Z
TRANSFIGURED	T R AE N S F IH G Y ER D
TRASHCAN	T R AE SH K AE N
TRAWLER'S	T R AO L ER Z
TREECUTTER	T R IY K AH T ER
TREEFROGS	T R IY F R AA G Z
TREMBLES	T R EH M B AH L Z
TREMOLO	T R EH M AH L OW
TRICYCLES	T R IH S AH K AH L Z
TRISTESSE	T R IH S T AH S
TRUNK'S	T R AH NG K S
TUATARA	T Y UW AE T AH R AH
TUI	T UW
TUMBLEWEED	T AH M B AH L W IY D
TUMBLEWEEDS	T AH M B AH L W IY D Z
TURNROW	T ER N R OW
TUSSOCKS	T AH S AH K S
TWIG'S	T W IH G Z
TWILIT	T W IH L AH T
TXTG	T IY EH K S T IY G
ULU	Y UW L UW
UMP	AH M P
UNBLESSED	AH N B L EH S T
UNBRAID	AH N B R EY D
UNCOILS	AH N K OY L Z
UNCURLING	AH N K ER L IH NG
UNDERSIDES	AH N D ER S AY D Z
UNDERTAKERS	AH N D ER T EY K ER Z
UNEARTHS	AH N ER TH S
UNFADING	AH N F EY D IH NG
UNFURLS	AH N F ER L Z
UNILINGUAL	Y UW N IH L IH NG G W AH L
UNLACED	AH N L EY S T
UNLEARNING	AH N L ER N IH NG
UNLIT	AH N L IH T
UNMAPPED	AH N M AE P T
UNPAIRED	AH N P EH R D
UNPEELED	AH N P IY L D
UNPINNED	AH N P IH N D
UNPLEATS	AH N P L IY T S
UNPRUNED	AH N P R UW N D
UNSEALS	AH N S IY L Z
UNSEASONABLE	AH N S IY Z AH N AH B AH L
UNSEASONAL	AH N S IY Z AH N AH L
UNSHARED	AH N SH EH R D
UNTANGLES	AH N T AE NG G AH L Z
UNTETHERED	AH N T EH DH ER D
UNWINDS	AH N W IH N D Z
UPCURLS	AH P K ER L Z
UPTURNED	AH P T ER N D
UPWIND	AH P W IH N D
VACATION'S	V EY K EY SH AH N Z
VEDIC	V IY D AH K
VEINED	V EY N D
VENTRILOQUIST	V EH N T R AH L AA K W AH S T
VIBRANCE	V AY B R AH N S
VIREO'S	V IH R IY AH Z
VJ	V IY JH
WADDLES	W AA D AH L Z
WAGTAIL'S	W AE G T EY L Z
WAITANGI	W EY T AE N JH IY
WALLAH	W AA L AH
WALPURGISNACHT	W AA L P AH R JH IH Z N AH CH T
WARBLER'S	W AO R B L ER Z
WASHBASINS	W AA SH B EY S AH N Z
WASHROOMS	W AA SH R UW M Z
WASN	W AA Z N
WATERCOLORIST	W AO T ER K AH L ER IH S T
WATERDROP	W AO T ER D R AA P
WATERDROPS	W AO T ER D R AA P S
WATERHOLE	W AO T ER HH OW L
WATERLILIES	W AO T ER L IY L IY Z
WATERLINE	W AO T ER L AY N
WATERPROOFS	W AO T ER P R UW F S
WATERSTRIDER	W AO T ER S T R AY D ER
WATERSTRIDER'S	W AO T ER S T R AY D ER Z
WEATHERVANE	W IY TH AH R V EY N
WEFT	W EH F T
WETS	W EH T S
WHAPPING	W AA P AH NG
WHATCHAMACALLITS	W AA CH AH M AH K AE L AH T S
WHEATFIELDS	W IY T F IY L D Z
WHEELCHAIR'S	W IY L CH EH R Z
WHELK	W EH K
WHELK'S	W EH L K S
WHETS	W EH T S
WHINNY	W IH N IY
WHIPPOORWILL	W IH P UH R W IH L
WHIRLIGIG	W AH R L AH JH AH G
WHIRR	W AH R
WHITEBAIT	W AY T B EY T
WHITECAPS	W AY T K AE P S
WHITETHROAT'S	W AY T TH R OW T S
WHITTLES	W IH T AH L Z
WICK'S	W IH K S
WIGEON	W IH JH AH N
WILLOW'S	W IH L OW Z
WILLOWTIP	W IH L OW T IH P
WIMPLE	W IH M P AH L
WINDBLOWN	W IH N D B L OW N
WINDOWSILL	W IH N D OW S IH L
WINDROWS	W IH N D R OW Z
WINDSOCK	W IH N D S AA K
WINGBEATS	W IH NG B IY T S
WINGTIP	W IH NG T IH P
WINTERING	W IH N T ER IH NG
WINTERY	W IH N T ER IY
WIPEOUTS	W AY P AW T S
WIPER'S	W AY P ER Z
WISHBONES	W IH SH B OW N Z
WITCHDOCTOR'S	W IH CH D AA K T ER Z
WOBBLES	W AA B AH L Z
WOODBURNING	W UH D B ER N IH NG
WOODCARVER'S	W UH D K AA R V ER Z
WOODCHUCK'S	W UH D CH AH K S
WOODCUT	W UH D K AH T
WOODSHOP	W UH D SH AA P
WOODSTOVE'S	W UH D S T OW V Z
WORDLESSNESS	W ER D L AH S N AH S
WOULDN	W OW L D N
WREN'S	R EH N Z
WRENSONG	R EH N S AH NG
WRINGS	R IH NG Z
WRITHES	R AY DH Z
YABBIES	Y AE B AY Z
YAHRZEIT	Y AE R Z IY T
YEARLESS	Y IH ER L AH S
YELLOWJACKETS	Y EH L OW JH AE K AH T S
YETI'S	Y EH T IY Z
YUKATTA	Y UW K AE T AH
ZAPPER	Z AE P AH R
ZINGS	Z IH NG Z
BK	B IY K
BUFFLEHEAD	B AH F L AH HH IY D
CHATTERS	CH AE T ER Z
EARTHWORKS	ER TH W ER K S
ECCLESIASTES	EH K L IY S IY AH S T S
GNOMON	N OW M AH N
LUNCHBOX	L AH N CH B AA K S
LUNCHBREAK	L AH N CH B R EY K
MATTED	M AE T IH D
PLUNKS	P L AH NG K S
REGROWTH	R IY G R OW TH
SCUTTLES	S K AH T AH L Z
WHIR	W ER
